date,session,N,A_no_filter,B_drop_1,C_drop_2,D_drop_3,E_keep_top,most_bearish,most_bearish_pred,most_bearish_real,most_bullish,most_bullish_pred,most_bullish_real
2026-04-15,MORNING_BUY,3,0.06354983961870257,,,0.07941432925716396,0.08293477154777662,603538,-0.32185027812676303,0.03182086034177978,603256,-0.17563777067223374,0.08293477154777662
2026-04-19,MORNING_BUY,5,0.0059637184065322035,-0.03237136383783673,-0.05807740541550591,-0.06279610812325886,-0.05807740541550591,002384,-0.38401106329040713,0.15930404738400794,603083,-0.15795356098820668,-0.03776539111918331
2026-04-20,MORNING_BUY,5,0.0239497386131863,0.02768762317650092,-0.025661365336097013,0.027449980981361755,-0.025661365336097013,002491,-0.3972503191576554,0.008998200359927822,600330,-0.15485829732081224,0.08326359832635988
2026-04-21,EVENING_BUY,4,-0.08684157635881853,-0.08101890626792925,,-0.04302621638362175,-0.04302621638362175,300139,-0.23690500653618352,-0.10430958663148637,600938,-0.07368909376186428,0.06223290598290587
2026-04-21,MORNING_BUY,5,-0.02957396204912117,-0.009808058082327542,-0.023204505819223693,-0.005613443275978125,-0.023204505819223693,002361,-0.40950999999999993,-0.10863757791629569,002709,-0.107882717173993,0.02743379691369774
2026-04-22,MORNING_BUY,5,-0.0007897127342441745,0.032130791230821604,0.06294659817299837,0.028286356886826847,0.06294659817299837,300502,-0.2976016139168266,-0.1324717285945073,603083,-0.1951247705983976,-0.019026548672566368
2026-04-23,EVENING_BUY,5,0.023478642440330953,0.031482697289001216,0.050084085164561865,0.032546290552102675,0.050084085164561865,603083,-0.25569716639767437,-0.00853757695435009,688126,-0.028378805800771456,0.008529854490717526
2026-04-23,MORNING_BUY,5,0.09777353357219043,0.09411360162213853,0.1481605391243026,0.20469066541997827,0.1481605391243026,002281,-0.35273961916584007,0.11241326137239804,603318,-0.10470372685463858,0.4057971014492754
2026-04-24,EVENING_BUY,5,0.03528575662865676,0.04546925621177439,0.03615785626633775,-0.022608995164699053,0.03615785626633775,688205,-0.2110954134775621,-0.00544824170381375,002130,0.05952484833310012,-0.010656436487638588
2026-04-25,MORNING_BUY,5,0.008059925283016555,0.04330197869793451,-0.003810869361359659,0.0002184140588507022,-0.003810869361359659,603016,-0.2411168175348325,-0.13290828837665525,603365,-0.06760985793900443,-0.11244497799119646
