anchor,last_close,real_close,kronos_pred_close,naive_pred_close,mr_pred_close,mom_pred_close,kronos_ret,real_ret,naive_ret,mr_ret,mom_ret,kronos_resid,regime
2024-03-29,22.61366116,21.99118158,21.97052001953125,22.61366116,21.089050726,23.62302629332189,-0.02844038105631319,-0.027526705012325348,0.0,-0.06741988496302376,0.04463519313304731,0.0009136760439878433,bull
2024-04-26,22.3906834,21.3222483,22.324844360351562,22.3906834,21.99381395633333,22.409280313122924,-0.0029404658389496907,-0.047717842323651505,0.0,-0.017724757952973902,0.0008305647840531893,-0.044777376484701814,bull
2024-05-24,20.66260576,20.91345574,20.955036163330078,20.66260576,22.36126272333333,18.042259603549276,0.014152639155327718,0.012140287769784042,0.0,0.08220923261390856,-0.12681586179819393,-0.002012351385543676,range
2024-06-28,23.72031168,23.40670179,22.07148551940918,23.72031168,22.359413374499997,26.17141001237823,-0.06951115073167613,-0.013221153846153744,0.0,-0.057372699139002226,0.10333331051652661,0.056289996885522386,range
2024-07-26,23.17862187,22.49438211,21.765634536743164,23.17862187,22.465979313833333,22.64930238018029,-0.06096080005022475,-0.029520295202952074,0.0,-0.030745682817710507,-0.022836538461538325,0.03144050484727268,bull
2024-08-23,22.57991208,23.39719846,22.234153747558594,22.57991208,22.828556841,21.996667118523984,-0.015312651848084835,0.036195286195286114,0.0,0.011011768341659511,-0.02583025830258312,0.05150793804337095,bull
2024-09-20,24.46157142,24.82269796,23.276206970214844,24.46157142,23.161515876,26.816049759403747,-0.048458229826395804,0.014763014763014892,0.0,-0.05314685314685308,0.09625212947189099,0.0632212445894107,bull
2024-10-18,25.05077788,25.1170523,22.84911346435547,25.05077788,23.622744158666666,25.834839785477307,-0.08788806583935627,0.0026456032749750946,0.0,-0.057005563985837115,0.031298904538341166,0.09053366911433136,bull
2024-11-15,25.03110041,24.64909201,23.39981460571289,25.03110041,24.513690648999997,25.01143839671865,-0.06517035917587577,-0.015261350629530712,0.0,-0.020670675780330328,-0.0007855033522016219,0.04990900854634506,bull
2024-12-20,23.73227185,23.94237647,23.435653686523438,23.73227185,24.763388591500004,22.849552711061605,-0.012498515327623916,0.008853118712273567,0.0,0.04344787334382416,-0.03719488570321572,0.021351634039897482,range
2025-01-17,21.93683237,22.27108972,22.621145248413086,21.93683237,24.082923727166666,20.091269519094897,0.031194698800220744,0.015237265999129113,0.0,0.09783050355536194,-0.0841307814992025,-0.01595743280109163,bear
2025-02-14,22.62444749,22.55759602,22.50988006591797,22.62444749,23.272588408666664,22.60536318169971,-0.005063877212147183,-0.0029548332629802943,0.0,0.028647812016321827,-0.000843525938422518,0.002109043949166889,bear
2025-03-14,21.54527376,21.15371515,21.80235481262207,21.54527376,22.560461083000003,20.51757602471929,0.011932132099400583,-0.018173758865248302,0.0,0.04711879432624122,-0.04769945124525121,-0.030105890964648885,bear
2025-04-11,22.30929056,22.2519893,22.37188720703125,22.30929056,21.934603987666666,23.26540301257143,0.0028058555633088123,-0.0025684931506848585,0.0,-0.016795091324200984,0.04285714285714293,-0.005374348713993671,range
2025-05-09,21.86043069,21.64077586,22.017860412597656,21.86043069,21.874756005000002,21.59625630099698,0.0072015837578931485,-0.01004805591961555,0.0,0.000655307994757548,-0.012084592145015116,-0.0172496396775087,range
2025-06-13,21.37336998,21.79357922,21.69049644470215,21.37336998,21.611170209000004,20.95208147842313,0.01483745731248276,0.01966041108132277,0.0,0.011126005361930424,-0.019710906701708164,0.00482295376884001,range
2025-07-11,21.27931096,21.21117044,21.627702713012695,21.27931096,21.618015058833333,21.185665870945453,0.016372323035627856,-0.003202195791399798,0.0,0.015917061387467513,-0.004400757582356807,-0.019574518827027654,bear
2025-08-08,21.49346688,21.21117044,21.407773971557617,21.49346688,21.493362334333327,21.709778074583713,-0.003986928163837611,-0.013134057971014523,0.0,-4.864067172483111e-06,0.010064043915827936,-0.009147129807176912,range
2025-09-05,20.86073348,21.64921664,20.961688995361328,20.86073348,21.4558990515,20.246626742590582,0.004839499793145796,0.037797480167988784,0.0,0.028530424017477962,-0.02943840579710133,0.03295798037484299,range
2025-10-03,22.4988484,23.21418635,22.444053649902344,22.4988484,21.515901615333338,23.974724390899784,-0.002435446878145786,0.03179442508710806,0.0,-0.043688759850778025,0.06559784592796247,0.034229871965253844,range
2025-10-31,23.74334045,24.64486225,22.331666946411133,23.74334045,21.947585538833334,25.625231468399406,-0.059455555824659445,0.037969459347915624,0.0,-0.07563194045708377,0.07925974116247003,0.09742501517257507,bull
2025-12-05,22.2440705,22.7536263,21.994413375854492,22.2440705,22.615811317166667,20.077153095427434,-0.011223535914683724,0.022907488986784186,0.0,0.016711906086013695,-0.09741550695825052,0.03413102490146791,bull
2026-01-02,22.0284892,23.2043872,22.032264709472656,22.0284892,22.79739583666667,22.226231472890483,0.00017139212037542428,0.053380782918149405,0.0,0.03490510083036802,0.008976660682226134,0.05320939079777398,range
2026-01-30,24.693858,24.70365715,23.020225524902344,24.693858,23.10917212583333,27.68172693950178,-0.06777525306485743,0.00039682539682561746,0.0,-0.06417328042328052,0.12099644128113884,0.06817207846168305,range
2026-03-06,29.40724915,28.62331715,23.721782684326172,29.40724915,24.201287393333335,35.13182909998009,-0.19333554242606965,-0.026657780739753445,0.0,-0.1770298789292457,0.19466560509554132,0.1666777616863162,bull
2026-04-03,25.47779,25.36999935,24.38909339904785,25.47779,25.89409055583333,22.07339353548817,-0.042731202390480005,-0.004230769230769149,0.0,0.01633974358974344,-0.13362212595801404,0.038500433159710856,bull
2026-05-01,25.44839255,26.3597135,24.22974967956543,25.44839255,26.494288493333332,25.01494150353899,-0.047886830888836274,0.03581055063534855,0.0,0.041098703632396205,-0.017032551097653226,0.08369738152418482,range
2026-06-05,22.97900675,22.7732246,23.70244026184082,22.97900675,26.116367941666674,20.66172194353911,0.03148236647960512,-0.008955223880597107,0.0,0.1365316275764039,-0.10084355828220859,-0.040437590360202225,bear
2026-07-03,22.89,22.04,22.857345581054688,22.89,24.67992421666667,22.466024213984948,-0.001426580119935017,-0.037134119702927126,0.0,0.07819677661278601,-0.01852231481061828,-0.03570753958299211,bear
2026-07-31,24.35,24.12,23.856483459472656,24.35,23.725127476666664,25.90312363477501,-0.020267619734182563,-0.00944558521560579,0.0,-0.025662115947980957,0.06378331148973349,0.010822034518576773,range
