,equity
2025-01-01,1.0
2025-01-02,1.0
2025-01-03,0.967124097628051
2025-01-06,0.967124097628051
2025-01-07,0.967124097628051
2025-01-08,0.967124097628051
2025-01-09,0.967124097628051
2025-01-10,0.9930395999963494
2025-01-13,0.9930395999963494
2025-01-14,0.9930395999963494
2025-01-15,0.9930395999963494
2025-01-16,0.9930395999963494
2025-01-17,0.9242743358273714
2025-01-20,0.9242743358273714
2025-01-21,0.9242743358273714
2025-01-22,0.9242743358273714
2025-01-23,0.9242743358273714
2025-01-24,0.9144652112816766
2025-01-27,0.9144652112816766
2025-01-28,0.9144652112816766
2025-01-29,0.9144652112816766
2025-01-30,0.9144652112816766
2025-01-31,0.8694386861166645
2025-02-03,0.8694386861166645
2025-02-04,0.8694386861166645
2025-02-05,0.8694386861166645
2025-02-06,0.8694386861166645
2025-02-07,0.8640288454030497
2025-02-10,0.8640288454030497
2025-02-11,0.8640288454030497
2025-02-12,0.8640288454030497
2025-02-13,0.8640288454030497
2025-02-14,0.8432343585417776
2025-02-17,0.8432343585417776
2025-02-18,0.8432343585417776
2025-02-19,0.8432343585417776
2025-02-20,0.8432343585417776
2025-02-21,0.8478164622259293
2025-02-24,0.8478164622259293
2025-02-25,0.8478164622259293
2025-02-26,0.8478164622259293
2025-02-27,0.8478164622259293
2025-02-28,0.8028267250995851
2025-03-03,0.8028267250995851
2025-03-04,0.8028267250995851
2025-03-05,0.8028267250995851
2025-03-06,0.8028267250995851
2025-03-07,0.8232859850325898
2025-03-10,0.8232859850325898
2025-03-11,0.8232859850325898
2025-03-12,0.8232859850325898
2025-03-13,0.8232859850325898
2025-03-14,1.0895827102467077
2025-03-17,1.0895827102467077
2025-03-18,1.0895827102467077
2025-03-19,1.0895827102467077
2025-03-20,1.0895827102467077
2025-03-21,0.9982261462630345
2025-03-24,0.9982261462630345
2025-03-25,0.9982261462630345
2025-03-26,0.9982261462630345
2025-03-27,0.9982261462630345
2025-03-28,0.7635245298500126
2025-03-31,0.7635245298500126
2025-04-01,0.7635245298500126
2025-04-02,0.7635245298500126
2025-04-03,0.7635245298500126
2025-04-04,0.677841816140694
2025-04-07,0.677841816140694
2025-04-08,0.677841816140694
2025-04-09,0.677841816140694
2025-04-10,0.677841816140694
2025-04-11,0.7071296303561774
2025-04-14,0.7071296303561774
2025-04-15,0.7071296303561774
2025-04-16,0.7071296303561774
2025-04-17,0.7071296303561774
2025-04-18,0.6796076961715211
2025-04-21,0.6796076961715211
2025-04-22,0.6796076961715211
2025-04-23,0.6796076961715211
2025-04-24,0.6796076961715211
2025-04-25,0.665025789393816
2025-04-28,0.665025789393816
2025-04-29,0.665025789393816
2025-04-30,0.665025789393816
2025-05-01,0.665025789393816
2025-05-02,0.6853258861166683
2025-05-05,0.6853258861166683
2025-05-06,0.6853258861166683
2025-05-07,0.6853258861166683
