date,N,A_no_filter,B_drop_1,C_drop_2,D_drop_3,E_keep_top,most_bearish,most_bearish_pred,most_bearish_real,most_bullish,most_bullish_pred,most_bullish_real,ranked_detail
2026-07-01,7,0.009625239951102189,0.012435683256776279,0.0049494854897287775,0.006788707772112268,0.0049494854897287775,000021,-0.3720679891251154,-0.007237419882942353,603019,-0.0682443494968964,0.05359676878512354,"[[""000021"", -0.3720679891251154, -0.007237419882942353], [""688048"", -0.34541291566166465, 0.049866672092013786], [""002821"", -0.26403454412007477, -0.0024074036398051835], [""688041"", -0.1933649395083863, 0.07979793483218822], [""300751"", -0.16888611935091247, -0.04764998469687609], [""300655"", -0.1393481711740021, -0.0585898878319866], [""603019"", -0.0682443494968964, 0.05359676878512354]]"
2026-07-02,10,-0.004769249320443925,-0.01447118465834971,-0.016591403970986754,-0.009197986860983831,-0.016591403970986754,600584,-0.3327224073272915,0.08254816872070814,600118,0.023551441807622142,0.12440667048900411,"[[""600584"", -0.3327224073272915, 0.08254816872070814], [""002371"", -0.2761092341260616, 0.0024905698427466483], [""688525"", -0.25026799796759347, -0.06834532374100721], [""300655"", -0.23493246785687072, -0.17803736139524518], [""300136"", -0.18037743333759082, -0.016039631154277534], [""300442"", -0.08640744526058952, -0.0489855395610852], [""603662"", -0.08381903191974627, 0.10478172713953393], [""300751"", -0.050273166312616246, -0.017153808434404172], [""688235"", 0.005426019613516075, -0.03335796511041278], [""600118"", 0.023551441807622142, 0.12440667048900411]]"
2026-07-03,10,-0.05782862672251212,-0.03696760752732828,-0.04128763301326867,-0.028416311573725355,-0.04128763301326867,688525,-0.3392766398152869,-0.2455777994791667,002342,0.06238387797000633,-0.11780335945083231,"[[""688525"", -0.3392766398152869, -0.2455777994791667], [""002821"", -0.20788967730054542, -0.0024074036398051835], [""300655"", -0.10960110743626172, -0.13138688309007185], [""600428"", -0.101366234719109, 0.10108959283949348], [""688333"", -0.08515289177536967, -0.11126598428665091], [""688160"", -0.05481168649492474, -0.19011545371807437], [""600276"", -0.013571550913969332, 0.02481614772526952], [""688235"", -0.009548663950123548, -0.03335796511041278], [""603019"", -0.00697560777528361, 0.12772284098512987], [""002342"", 0.06238387797000633, -0.11780335945083231]]"
2026-07-06,10,-0.039197656291206494,-0.05198712818568231,-0.058509324736352605,-0.08348270179223247,-0.058509324736352605,688017,-0.36779549421366786,0.07590759075907583,301005,0.07803656277281901,-0.20084110153055634,"[[""688017"", -0.36779549421366786, 0.07590759075907583], [""000021"", -0.2903528696600536, 0.00019044421968006375], [""600584"", -0.2687955866954169, 0.1163043146548064], [""002821"", -0.18017014537549514, -0.0024074036398051835], [""001270"", -0.16464558314241984, -0.1598578219304191], [""688235"", -0.06351038523099051, -0.03335796511041278], [""688165"", -0.05747071503065404, -0.1483031380806008], [""603662"", -0.05273988089132309, 0.10478172713953393], [""603728"", 0.007581749788754033, -0.14439320939336697], [""301005"", 0.07803656277281901, -0.20084110153055634]]"
2026-07-07,8,-0.10132103773781173,-0.08891304607167207,-0.11638315221013006,-0.10857753076208507,-0.11638315221013006,300671,-0.4063486142420336,-0.18817697940078937,600276,0.008303730474042093,0.034730975630283156,"[[""300671"", -0.4063486142420336, -0.18817697940078937], [""688017"", -0.3071461060452948, 0.07590759075907583], [""300821"", -0.30655227486122605, -0.15541125945035494], [""001270"", -0.17858252778721317, -0.2550689089718128], [""002979"", -0.1501811875761765, -0.08445890453626459], [""605060"", -0.12187240110927022, -0.20473285082221837], [""688235"", -0.011274535780276373, -0.03335796511041278], [""600276"", 0.008303730474042093, 0.034730975630283156]]"
2026-07-08,8,-0.04076275287634981,-0.005969756788657489,0.022262181617083893,0.011533099788685507,0.022262181617083893,300821,-0.3545200518677625,-0.28431372549019607,002490,0.16522325933737148,0.02717388663546627,"[[""300821"", -0.3545200518677625, -0.28431372549019607], [""688548"", -0.2943030837344811, -0.1753613872231058], [""688017"", -0.16341051860198985, 0.07590759075907583], [""000977"", -0.10620691466090537, -0.1013333407315341], [""603893"", -0.047741880511293355, 0.0984579430938286], [""603993"", 0.06863162208813911, 0.05020201056338758], [""601808"", 0.10854389128352881, -0.016835000617720808], [""002490"", 0.16522325933737148, 0.02717388663546627]]"
2026-07-09,8,-0.05543076024015205,-0.00782365171966797,-0.021778858799458605,-0.005867962413043504,-0.021778858799458605,300821,-0.40950999999999993,-0.3886805198835406,601808,0.1401360762034749,0.05181815407492896,"[[""300821"", -0.40950999999999993, -0.3886805198835406], [""688017"", -0.2619772766236528, 0.07590759075907583], [""000977"", -0.17764487356928305, -0.1013333407315341], [""603893"", -0.07264540224899485, -0.03809522627638462], [""600276"", -0.008135769011798133, -0.025824173751221036], [""002490"", 0.014935074300802542, -0.0300957307679538], [""601899"", 0.057744285147057095, 0.012857164655412978], [""601808"", 0.1401360762034749, 0.05181815407492896]]"
2026-07-10,4,-0.18546443050115885,-0.16480689515696703,,,-0.06734565292097344,300604,-0.39036335579289416,-0.24743703653373428,688235,0.010349574482142021,-0.03335796511041278,"[[""300604"", -0.39036335579289416, -0.24743703653373428], [""300821"", -0.33087016983044126, -0.35972937962895424], [""000977"", -0.21841395551120735, -0.1013333407315341], [""688235"", 0.010349574482142021, -0.03335796511041278]]"
2026-07-13,7,-0.10893403374735418,-0.12547525975310017,-0.1303036435574134,-0.09742368138932597,-0.1303036435574134,688041,-0.18076145337975547,-0.009686677712878122,688270,0.08916609929496522,-0.24404761904761907,"[[""688041"", -0.18076145337975547, -0.009686677712878122], [""000977"", -0.16973964054412427, -0.1013333407315341], [""600879"", -0.014458316988712805, -0.2618234922297631], [""600118"", -0.004667605140517228, -0.2873255857115232], [""601899"", 0.02763552414743531, 0.12388392960095196], [""600988"", 0.048259693810049686, 0.017794549600886445], [""688270"", 0.08916609929496522, -0.24404761904761907]]"
2026-07-14,6,0.021053288463572906,0.041291849158649405,0.0354985229971177,0.008314483521868773,0.0354985229971177,688072,-0.38590401061917656,-0.0801395150118096,002490,-0.007720757421825319,-0.04662572458773773,"[[""688072"", -0.38590401061917656, -0.0801395150118096], [""603893"", -0.10098079340041666, 0.06446515380477624], [""300164"", -0.04883884168467334, 0.11705064142286448], [""600900"", -0.035083778878763794, 0.0537746255524576], [""600988"", -0.012611727516709248, 0.017794549600886445], [""002490"", -0.007720757421825319, -0.04662572458773773]]"
