,equity
2024-09-02,1.0
2024-09-03,1.0
2024-09-04,1.0
2024-09-05,1.0
2024-09-06,0.9509010337607338
2024-09-09,0.9509010337607338
2024-09-10,0.9509010337607338
2024-09-11,0.9509010337607338
2024-09-12,0.9509010337607338
2024-09-13,0.9473320186311704
2024-09-16,0.9473320186311704
2024-09-17,0.9473320186311704
2024-09-18,0.9473320186311704
2024-09-19,0.9473320186311704
2024-09-20,1.1676534415269242
2024-09-23,1.1676534415269242
2024-09-24,1.1676534415269242
2024-09-25,1.1676534415269242
2024-09-26,1.1676534415269242
2024-09-27,1.3307232698373685
2024-09-30,1.3307232698373685
2024-10-01,1.3307232698373685
2024-10-02,1.3307232698373685
2024-10-03,1.3307232698373685
2024-10-04,1.3545767835422031
2024-10-07,1.3545767835422031
2024-10-08,1.3545767835422031
2024-10-09,1.3545767835422031
2024-10-10,1.3545767835422031
2024-10-11,1.3411705291253873
2024-10-14,1.3411705291253873
2024-10-15,1.3411705291253873
2024-10-16,1.3411705291253873
2024-10-17,1.3411705291253873
2024-10-18,1.370694352303321
2024-10-21,1.370694352303321
2024-10-22,1.370694352303321
2024-10-23,1.370694352303321
2024-10-24,1.370694352303321
2024-10-25,1.3191538710396276
2024-10-28,1.3191538710396276
2024-10-29,1.3191538710396276
2024-10-30,1.3191538710396276
2024-10-31,1.3191538710396276
2024-11-01,1.3777267183399813
2024-11-04,1.3777267183399813
2024-11-05,1.3777267183399813
2024-11-06,1.3777267183399813
2024-11-07,1.3777267183399813
2024-11-08,1.3310483023324677
2024-11-11,1.3310483023324677
2024-11-12,1.3310483023324677
2024-11-13,1.3310483023324677
2024-11-14,1.3310483023324677
2024-11-15,1.285951239752701
2024-11-18,1.285951239752701
2024-11-19,1.285951239752701
2024-11-20,1.285951239752701
2024-11-21,1.285951239752701
2024-11-22,1.2908302054843708
2024-11-25,1.2908302054843708
2024-11-26,1.2908302054843708
2024-11-27,1.2908302054843708
2024-11-28,1.2908302054843708
2024-11-29,1.3044699514675586
2024-12-02,1.3044699514675586
2024-12-03,1.3044699514675586
2024-12-04,1.3044699514675586
2024-12-05,1.3044699514675586
2024-12-06,1.2996939607596427
2024-12-09,1.2996939607596427
2024-12-10,1.2996939607596427
2024-12-11,1.2996939607596427
2024-12-12,1.2996939607596427
2024-12-13,1.313153065183418
2024-12-16,1.313153065183418
2024-12-17,1.313153065183418
2024-12-18,1.313153065183418
2024-12-19,1.313153065183418
2024-12-20,1.323876615485995
2024-12-23,1.323876615485995
2024-12-24,1.323876615485995
2024-12-25,1.323876615485995
2024-12-26,1.323876615485995
2024-12-27,1.323876615485995
2024-12-30,1.323876615485995
2024-12-31,1.323876615485995
