,equity
2024-09-02,1.0
2024-09-03,1.0
2024-09-04,1.0
2024-09-05,1.0
2024-09-06,0.9532072072072071
2024-09-09,0.9532072072072071
2024-09-10,0.9532072072072071
2024-09-11,0.9532072072072071
2024-09-12,0.9532072072072071
2024-09-13,0.9615873975826842
2024-09-16,0.9615873975826842
2024-09-17,0.9615873975826842
2024-09-18,0.9615873975826842
2024-09-19,0.9615873975826842
2024-09-20,1.0646096282686317
2024-09-23,1.0646096282686317
2024-09-24,1.0646096282686317
2024-09-25,1.0646096282686317
2024-09-26,1.0646096282686317
2024-09-27,1.2124382795082187
2024-09-30,1.2124382795082187
2024-10-01,1.2124382795082187
2024-10-02,1.2124382795082187
2024-10-03,1.2124382795082187
2024-10-04,1.2880968349749002
2024-10-07,1.2880968349749002
2024-10-08,1.2880968349749002
2024-10-09,1.2880968349749002
2024-10-10,1.2880968349749002
2024-10-11,1.3061533996165304
2024-10-14,1.3061533996165304
2024-10-15,1.3061533996165304
2024-10-16,1.3061533996165304
2024-10-17,1.3061533996165304
2024-10-18,1.2620271053435648
2024-10-21,1.2620271053435648
2024-10-22,1.2620271053435648
2024-10-23,1.2620271053435648
2024-10-24,1.2620271053435648
2024-10-25,1.2552314191216272
2024-10-28,1.2552314191216272
2024-10-29,1.2552314191216272
2024-10-30,1.2552314191216272
2024-10-31,1.2552314191216272
2024-11-01,1.2836076486704822
2024-11-04,1.2836076486704822
2024-11-05,1.2836076486704822
2024-11-06,1.2836076486704822
2024-11-07,1.2836076486704822
2024-11-08,1.245070788556494
2024-11-11,1.245070788556494
2024-11-12,1.245070788556494
2024-11-13,1.245070788556494
2024-11-14,1.245070788556494
2024-11-15,1.1896246184104813
2024-11-18,1.1896246184104813
2024-11-19,1.1896246184104813
2024-11-20,1.1896246184104813
2024-11-21,1.1896246184104813
2024-11-22,1.1963934902702742
2024-11-25,1.1963934902702742
2024-11-26,1.1963934902702742
2024-11-27,1.1963934902702742
2024-11-28,1.1963934902702742
2024-11-29,1.1887021250985563
2024-12-02,1.1887021250985563
2024-12-03,1.1887021250985563
2024-12-04,1.1887021250985563
2024-12-05,1.1887021250985563
2024-12-06,1.1698297141623124
2024-12-09,1.1698297141623124
2024-12-10,1.1698297141623124
2024-12-11,1.1698297141623124
2024-12-12,1.1698297141623124
2024-12-13,1.1810514954097593
2024-12-16,1.1810514954097593
2024-12-17,1.1810514954097593
2024-12-18,1.1810514954097593
2024-12-19,1.1810514954097593
2024-12-20,1.2261621563043654
2024-12-23,1.2261621563043654
2024-12-24,1.2261621563043654
2024-12-25,1.2261621563043654
2024-12-26,1.2261621563043654
2024-12-27,1.2261621563043654
2024-12-30,1.2261621563043654
2024-12-31,1.2261621563043654
