entry_date,exit_date,symbol,weight,last_close,real_close,pred_ret,real_ret,gross_ret,strategy,rank_pred,n_candidates,real_ret_net
2024-09-06,2024-09-13,000001,1.0,8.88,8.5,-0.00896764016366225,-0.04279279279279291,-0.04279279279279291,contrarian,0,5,-0.046792792792792914
2024-09-06,2024-09-13,600519,1.0,1294.54,1200.67,0.022647640372014388,-0.072512243731364,-0.072512243731364,bullish,4,5,-0.076512243731364
2024-09-06,2024-09-13,000001,0.3333333333333333,8.88,8.5,-0.00896764016366225,-0.04279279279279291,-0.04279279279279291,bottom_3,0,5,-0.046792792792792914
2024-09-06,2024-09-13,600036,0.3333333333333333,27.23,26.58,0.0018993465943324406,-0.023870730811604957,-0.023870730811604957,bottom_3,1,5,-0.027870730811604957
2024-09-06,2024-09-13,000858,0.3333333333333333,106.63,98.3,0.004017516236965779,-0.07812060395761045,-0.07812060395761045,bottom_3,2,5,-0.08212060395761045
2024-09-06,2024-09-13,600519,0.3333333333333333,1294.54,1200.67,0.022647640372014388,-0.072512243731364,-0.072512243731364,top_3,4,5,-0.076512243731364
2024-09-06,2024-09-13,002594,0.3333333333333333,82.18,83.31,0.006383610398382311,0.013750304210270015,0.013750304210270015,top_3,3,5,0.009750304210270015
2024-09-06,2024-09-13,000858,0.3333333333333333,106.63,98.3,0.004017516236965779,-0.07812060395761045,-0.07812060395761045,top_3,2,5,-0.08212060395761045
2024-09-06,2024-09-13,000001,0.2,8.88,8.5,-0.00896764016366225,-0.04279279279279291,-0.04279279279279291,equal_weight,0,5,-0.046792792792792914
2024-09-06,2024-09-13,600036,0.2,27.23,26.58,0.0018993465943324406,-0.023870730811604957,-0.023870730811604957,equal_weight,1,5,-0.027870730811604957
2024-09-06,2024-09-13,000858,0.2,106.63,98.3,0.004017516236965779,-0.07812060395761045,-0.07812060395761045,equal_weight,2,5,-0.08212060395761045
2024-09-06,2024-09-13,002594,0.2,82.18,83.31,0.006383610398382311,0.013750304210270015,0.013750304210270015,equal_weight,3,5,0.009750304210270015
2024-09-06,2024-09-13,600519,0.2,1294.54,1200.67,0.022647640372014388,-0.072512243731364,-0.072512243731364,equal_weight,4,5,-0.076512243731364
2024-09-06,2024-09-13,600519,0.3333333333333333,1294.54,1200.67,0.022647640372014388,-0.072512243731364,-0.072512243731364,random_top_3_t0,4,5,-0.076512243731364
