date,open,high,low,close,volume,amount
2022-01-04,200.28,201.5,195.7,201.18,201787,4460248064.0
2022-01-05,200.44,204.9,198.65,201.37,205622,4608528384.0
2022-01-06,200.94,203.62,195.76,197.1,197643,4366330624.0
2022-01-07,197.09,198.12,194.14,195.28,168682,3671458256.0
2022-01-10,193.36,195.25,187.74,192.58,208423,4477043200.0
2022-01-11,192.12,193.97,190.67,190.98,131623,2819944192.0
2022-01-12,192.63,195.71,191.84,195.54,178943,3865370480.0
2022-01-13,196.62,196.66,185.62,186.52,267623,5678771200.0
2022-01-14,184.63,187.96,184.12,184.82,136468,2844403648.0
2022-01-17,184.4,186.62,181.12,186.46,169362,3497443776.0
2022-01-18,186.42,191.6,183.93,189.11,184749,3904185744.0
2022-01-19,191.95,191.95,185.9,188.42,144019,3039014336.0
2022-01-20,188.42,191.62,185.97,190.84,194686,4146262240.0
2022-01-21,190.62,196.34,188.84,194.88,239747,5195067392.0
2022-01-24,193.62,195.55,190.82,192.69,138009,2968569088.0
2022-01-25,191.17,192.62,185.62,185.98,155582,3284058720.0
2022-01-26,185.72,189.38,179.85,183.67,215095,4439752192.0
2022-01-27,184.62,188.88,180.79,181.02,209923,4339832832.0
2022-01-28,181.61,182.92,175.62,176.0,257815,5160817152.0
2022-02-07,177.62,180.48,172.3,173.24,248080,4899710464.0
2022-02-08,173.27,173.95,162.52,167.62,304517,5740104448.0
2022-02-09,166.62,173.92,166.62,173.6,237421,4585366272.0
2022-02-10,173.6,174.12,168.73,170.66,168743,3254038400.0
2022-02-11,170.12,176.25,168.97,171.89,273749,5365712640.0
2022-02-14,169.62,176.82,169.12,175.63,190316,3747901328.0
2022-02-15,176.42,177.98,174.42,177.42,177390,3537513872.0
2022-02-16,177.44,178.25,175.58,177.03,119085,2375601904.0
2022-02-17,177.5,177.78,174.44,175.06,130546,2583633360.0
2022-02-18,174.62,177.0,173.07,176.62,116144,2297554256.0
2022-02-21,177.33,181.58,175.42,176.82,151926,3044972480.0
2022-02-22,175.43,175.55,169.47,171.02,193677,3749346928.0
2022-02-23,170.89,174.2,169.65,173.82,147973,2875772240.0
2022-02-24,171.62,172.62,164.92,166.31,259610,4940978944.0
2022-02-25,167.61,170.59,167.61,168.1,136664,2611874592.0
2022-02-28,168.62,169.12,164.62,167.62,143093,2700046288.0
2022-03-01,167.72,171.51,167.68,170.81,200285,3853590512.0
2022-03-02,168.92,169.03,166.02,166.82,150165,2841554768.0
2022-03-03,167.39,167.82,159.62,159.69,312889,5775912448.0
2022-03-04,157.6,159.01,153.5,153.99,312930,5577557248.0
2022-03-07,151.87,151.87,142.87,143.62,477389,8036888576.0
2022-03-08,147.61,149.12,142.89,143.87,333507,5611790592.0
2022-03-09,144.62,145.35,134.42,140.5,399219,6488949504.0
2022-03-10,145.61,149.86,143.61,149.77,417740,7087219712.0
2022-03-11,146.62,150.17,144.85,149.39,257971,4378228992.0
2022-03-14,146.61,147.21,143.89,143.89,181403,3043660704.0
2022-03-15,140.62,142.4,134.32,134.77,312945,5020399616.0
2022-03-16,140.62,143.17,132.76,142.42,349000,5622615296.0
2022-03-17,146.12,149.48,143.62,145.86,348292,5869489664.0
2022-03-18,144.62,146.7,142.62,145.52,185857,3107945072.0
2022-03-21,147.37,147.4,142.63,143.33,171054,2842223344.0
2022-03-22,143.32,144.92,141.62,141.92,122905,2029492688.0
2022-03-23,141.94,144.91,140.36,143.56,184639,3049956336.0
2022-03-24,142.02,142.02,138.3,138.98,198086,3207819888.0
2022-03-25,141.17,141.2,134.3,134.81,213641,3393360048.0
2022-03-28,131.92,131.92,128.12,128.82,274466,4167231504.0
2022-03-29,128.61,131.39,126.73,126.8,235211,3552871392.0
2022-03-30,130.59,134.57,128.78,134.57,323673,4993851904.0
2022-03-31,133.62,134.22,132.12,132.68,201366,3126382336.0
2022-04-01,132.62,139.85,132.07,137.52,287495,4581621760.0
2022-04-06,135.62,139.88,135.12,137.63,179443,2866077984.0
2022-04-07,136.62,141.51,136.15,138.07,185572,2996915184.0
2022-04-08,138.62,140.39,137.12,138.21,165446,2661592736.0
2022-04-11,135.63,136.3,130.47,131.28,242577,3752027968.0
2022-04-12,131.88,142.31,131.88,141.5,334164,5333900800.0
2022-04-13,140.42,142.62,138.25,139.94,238855,3897075056.0
2022-04-14,141.52,150.62,140.55,149.19,431191,7300574976.0
2022-04-15,147.62,151.62,146.22,147.52,226440,3871918112.0
2022-04-18,146.52,146.52,141.83,144.8,184111,3062759952.0
2022-04-19,145.62,147.62,141.66,142.62,164993,2740121568.0
2022-04-20,143.11,146.62,139.26,143.52,206341,3422120976.0
2022-04-21,141.62,144.15,139.3,140.2,171229,2807078128.0
2022-04-22,140.19,143.8,136.6,143.05,200144,3268498128.0
2022-04-25,139.62,140.24,132.12,132.62,286351,4556272640.0
2022-04-26,132.62,139.43,132.16,136.12,254539,4045539328.0
2022-04-27,136.12,141.03,136.12,139.01,239278,3849331184.0
2022-04-28,139.02,144.28,138.17,143.47,257120,4235742304.0
2022-04-29,143.92,144.92,136.48,139.75,448743,7241581056.0
2022-05-05,137.62,142.08,136.77,139.16,244802,3973322640.0
2022-05-06,135.65,137.28,134.13,134.68,190861,3007833168.0
2022-05-09,132.63,134.12,129.95,132.4,186236,2874663792.0
2022-05-10,128.62,134.12,127.22,132.95,201080,3092729200.0
2022-05-11,132.95,137.27,132.62,135.13,243902,3846228736.0
2022-05-12,133.82,137.3,133.72,135.7,170686,2699983168.0
2022-05-13,137.22,137.49,133.67,134.56,152556,2401106192.0
2022-05-16,136.59,136.6,131.82,132.8,177651,2767778352.0
2022-05-17,132.79,134.11,132.26,133.77,133412,2078095648.0
2022-05-18,133.97,134.11,131.07,132.2,165605,2560375184.0
2022-05-19,130.49,131.22,129.84,131.14,148783,2273068160.0
2022-05-20,131.92,140.6,131.31,140.09,452297,7222107648.0
2022-05-23,139.23,139.8,135.62,137.05,276453,4410754816.0
2022-05-24,138.05,138.62,133.9,134.19,188552,2974172512.0
2022-05-25,134.07,136.18,132.62,135.07,163957,2565767968.0
2022-05-26,134.62,137.32,132.62,134.84,194318,3043721248.0
2022-05-27,137.27,139.12,134.91,135.57,210683,3356383648.0
2022-05-30,137.63,145.37,137.62,143.8,510932,8416468224.0
2022-05-31,143.62,150.44,142.64,149.02,486545,8293724672.0
2022-06-01,150.61,150.92,146.65,148.03,219302,3739434432.0
2022-06-02,146.65,148.62,146.3,147.37,165224,2801365552.0
2022-06-06,148.12,151.11,144.2,150.56,278142,4762415104.0
2022-06-07,150.72,156.02,149.62,151.74,295077,5177758464.0
2022-06-08,151.92,157.61,150.64,155.75,325279,5770812928.0
2022-06-09,155.98,157.52,153.41,153.63,207839,3688662160.0
2022-06-10,152.65,156.12,151.12,155.04,215630,3804237568.0
2022-06-13,152.81,154.02,148.72,150.13,264346,4580799744.0
2022-06-14,147.82,151.62,147.27,151.42,197333,3385240800.0
2022-06-15,151.44,157.52,149.41,154.9,325441,5743255040.0
2022-06-16,155.62,158.62,154.62,155.22,205006,3668452192.0
2022-06-17,154.12,158.8,154.12,158.8,286204,5145018880.0
2022-06-20,160.38,164.62,156.62,161.11,311954,5705313024.0
2022-06-21,160.28,163.12,158.07,159.28,218116,3990195904.0
2022-06-22,159.62,160.5,155.37,155.69,223528,4006768448.0
2022-06-23,155.72,158.52,155.41,158.02,159725,2867621360.0
2022-06-24,159.12,163.13,157.53,162.62,245187,4504178688.0
2022-06-27,164.62,173.3,164.62,170.62,366375,7058190336.0
2022-06-28,170.62,177.49,168.82,177.27,316786,6232395008.0
2022-06-29,177.64,177.79,171.15,172.65,289971,5625269504.0
2022-06-30,172.83,185.65,172.83,182.58,425215,8521483520.0
2022-07-01,182.73,185.65,178.65,183.65,219366,4418343936.0
2022-07-04,181.64,183.45,178.85,181.69,225876,4525333760.0
2022-07-05,182.3,183.31,176.91,179.26,262965,5224558336.0
2022-07-06,178.77,180.27,174.0,175.39,227633,4459016704.0
2022-07-07,175.39,175.39,169.12,172.24,266771,5095578624.0
2022-07-08,174.0,175.45,171.61,173.35,164097,3167643744.0
2022-07-11,170.67,171.45,166.65,170.03,192575,3621672896.0
2022-07-12,169.43,173.39,168.19,170.65,169935,3229606651.08
2022-07-13,170.22,175.43,168.26,173.75,189919,3656106376.92
2022-07-14,171.82,174.21,169.7,170.78,151079,2880607577.87
2022-07-15,170.8,176.16,168.65,170.55,207209,3979169055.29
2022-07-18,170.28,170.45,164.85,167.98,178034,3320023854.5
2022-07-19,167.65,170.3,167.15,169.55,120214,2259044880.28
2022-07-20,171.45,172.15,168.65,169.76,112498,2134516122.7
2022-07-21,169.64,170.55,167.23,167.35,110728,2082697378.03
2022-07-22,168.15,169.15,165.65,166.56,116986,2180797972.02
2022-07-25,167.5,169.15,165.4,168.73,124799,2336297100.14
2022-07-26,169.51,172.65,169.33,171.64,137474,2627310530.76
2022-07-27,170.7,171.66,168.21,168.75,97491,1844277552.98
2022-07-28,169.1,171.15,167.5,167.77,92609,1744687638.89
2022-07-29,167.14,167.14,158.45,159.05,340311,6166191233.29
2022-08-01,159.15,160.64,157.47,159.23,156082,2791638728.27
2022-08-02,157.55,159.31,153.73,156.31,176738,3114640798.56
2022-08-03,156.53,160.15,154.95,155.24,154031,2710918104.25
2022-08-04,155.25,158.14,155.1,157.43,133686,2350151179.61
2022-08-05,158.1,160.15,156.86,159.83,127017,2260873414.15
