date,symbol
2023-01-06,300394
2023-01-06,600183
2023-01-06,300620
2023-01-06,300308
2023-01-06,300502
2023-01-13,300308
2023-01-13,300476
2023-01-13,688498
2023-01-13,600183
2023-01-13,300502
2023-01-20,600183
2023-01-20,300308
2023-01-20,688183
2023-01-20,300502
2023-01-20,688498
2023-01-27,300620
2023-01-27,300308
2023-01-27,300476
2023-01-27,300502
2023-01-27,300394
2023-02-03,300502
2023-02-03,688183
2023-02-03,300476
2023-02-03,600183
2023-02-03,300308
2023-02-10,300394
2023-02-10,300308
2023-02-10,300620
2023-02-10,600183
2023-02-10,688183
2023-02-17,688498
2023-02-17,300476
2023-02-17,300620
2023-02-17,688183
2023-02-17,300308
2023-02-24,688498
2023-02-24,300476
2023-02-24,300620
2023-02-24,300502
2023-02-24,688183
2023-03-03,300394
2023-03-03,600183
2023-03-03,688498
2023-03-03,300620
2023-03-03,688183
2023-03-10,300308
2023-03-10,300476
2023-03-10,688183
2023-03-10,688498
2023-03-10,300502
2023-03-17,688498
2023-03-17,300308
2023-03-17,300476
2023-03-17,688183
2023-03-17,300620
2023-03-24,688498
2023-03-24,300476
2023-03-24,300620
2023-03-24,300502
2023-03-24,300308
2023-03-31,688183
2023-03-31,300502
2023-03-31,300308
2023-03-31,600183
2023-03-31,300476
2023-04-07,600183
2023-04-07,300620
2023-04-07,300394
2023-04-07,688498
2023-04-07,300476
2023-04-14,300308
2023-04-14,300502
2023-04-14,300620
2023-04-14,300476
2023-04-14,600183
2023-04-21,300394
2023-04-21,300502
2023-04-21,300308
2023-04-21,600183
2023-04-21,688183
2023-04-28,300394
2023-04-28,600183
2023-04-28,300502
2023-04-28,300620
2023-04-28,300476
2023-05-05,300502
2023-05-05,600183
2023-05-05,300476
2023-05-05,300394
2023-05-05,300308
2023-05-12,300476
2023-05-12,688498
2023-05-12,300308
2023-05-12,300394
2023-05-12,300620
2023-05-19,300620
2023-05-19,300502
2023-05-19,300308
2023-05-19,688498
2023-05-19,300476
2023-05-26,300394
2023-05-26,688183
2023-05-26,300502
2023-05-26,300308
2023-05-26,300620
2023-06-02,300308
2023-06-02,300502
2023-06-02,688498
2023-06-02,688183
2023-06-02,300476
2023-06-09,688183
2023-06-09,300476
2023-06-09,688498
2023-06-09,300308
2023-06-09,300620
2023-06-16,300476
2023-06-16,300502
2023-06-16,300620
2023-06-16,300308
2023-06-16,600183
2023-06-23,300620
2023-06-23,300308
2023-06-23,600183
2023-06-23,300394
2023-06-23,688498
2023-06-30,300308
2023-06-30,688183
2023-06-30,300620
2023-06-30,300502
2023-06-30,300476
2023-07-07,300394
2023-07-07,688498
2023-07-07,300308
2023-07-07,300620
2023-07-07,300476
2023-07-14,600183
2023-07-14,300394
2023-07-14,300476
2023-07-14,300308
2023-07-14,300502
2023-07-21,300476
2023-07-21,688498
2023-07-21,300502
2023-07-21,300394
2023-07-21,688183
2023-07-28,300620
2023-07-28,688183
2023-07-28,600183
2023-07-28,688498
2023-07-28,300476
2023-08-04,300502
2023-08-04,300394
2023-08-04,600183
2023-08-04,300620
2023-08-04,300476
2023-08-11,300620
2023-08-11,300308
2023-08-11,688183
2023-08-11,600183
2023-08-11,688498
2023-08-18,600183
2023-08-18,300620
2023-08-18,300502
2023-08-18,300476
2023-08-18,688183
2023-08-25,688498
2023-08-25,600183
2023-08-25,688183
2023-08-25,300502
2023-08-25,300476
2023-09-01,300502
2023-09-01,688183
2023-09-01,300620
2023-09-01,300308
2023-09-01,600183
2023-09-08,300620
2023-09-08,688183
2023-09-08,688498
2023-09-08,600183
2023-09-08,300394
2023-09-15,688498
2023-09-15,688183
2023-09-15,300620
2023-09-15,300476
2023-09-15,300308
2023-09-22,300502
2023-09-22,688183
2023-09-22,300394
2023-09-22,300476
2023-09-22,600183
