date,n,ic,rank_ic,da,up_cap,dn_cap
2025-06-06,15,-0.2869594297050413,-0.09651478384760549,0.6,0.75,0.14285714285714285
2025-06-13,15,0.04669405569192168,0.14285714285714282,0.5384615384615384,0.75,0.36363636363636365
2025-06-20,15,0.8533431914164947,0.25357142857142856,0.6363636363636364,0.75,0.5454545454545454
2025-06-27,15,0.21727213724567243,-0.12142857142857141,0.4,0.3333333333333333,0.3333333333333333
2025-07-04,15,0.19266233016316334,0.42142857142857143,0.6,0.0,0.75
2025-07-11,15,-0.0012278719290294941,-0.049999999999999996,0.42857142857142855,0.0,0.38461538461538464
2025-07-18,15,0.17133770400644133,0.5107142857142856,0.25,1.0,0.15384615384615385
2025-07-25,15,-0.11640473696627118,0.08928571428571427,0.6923076923076923,0.0,0.6923076923076923
2025-08-01,15,-0.2601923433889194,-0.16428571428571426,0.4,0.8,0.3
2025-08-08,15,0.6112515907976332,0.44999999999999996,0.7272727272727273,0.0,0.7142857142857143
2025-08-15,15,0.09950868057142989,0.13214285714285715,0.3333333333333333,0.8,0.3
2025-08-22,15,-0.2454365705462111,0.22142857142857136,0.5,1.0,0.42857142857142855
2025-08-29,15,0.21554966681014945,-0.0964285714285714,0.5454545454545454,0.0,0.5714285714285714
2025-09-05,15,-0.207086435728624,-0.22142857142857136,0.07142857142857142,0.5,0.07692307692307693
2025-09-12,15,-0.1576518506077151,0.08928571428571427,0.5714285714285714,0.0,0.6428571428571429
2025-09-19,15,-0.44770032319407743,-0.2964285714285714,0.5,1.0,0.46153846153846156
2025-09-26,15,-0.22004446032055455,-0.3,0.3076923076923077,1.0,0.15384615384615385
2025-10-03,15,-0.1317464925618025,0.04642857142857142,0.5,1.0,0.5
2025-10-10,15,0.316587057880155,0.2178571428571428,0.5384615384615384,,0.4666666666666667
2025-10-17,15,0.49585588931435776,0.48571428571428565,0.7142857142857143,,0.6666666666666666
2025-10-24,15,-0.12973513939897993,-0.024999999999999998,0.5714285714285714,1.0,0.5
