date,N,A_no_filter,B_drop_1,C_drop_2,D_drop_3,E_keep_top,most_bearish,most_bearish_pred,most_bearish_real,most_bullish,most_bullish_pred,most_bullish_real,ranked_detail
2026-07-01,7,0.009625239951102189,0.002918334594283589,0.0049494854897287775,0.006788707772112268,0.0049494854897287775,688048,-0.40950999999999993,0.049866672092013786,603019,-0.08792520860976394,0.05359676878512354,"[[""688048"", -0.40950999999999993, 0.049866672092013786], [""000021"", -0.40906191347038245, -0.007237419882942353], [""002821"", -0.27970669978416407, -0.0024074036398051835], [""300751"", -0.24019912794402531, -0.04764998469687609], [""300655"", -0.19154459696275672, -0.0585898878319866], [""688041"", -0.17577481331161582, 0.07979793483218822], [""603019"", -0.08792520860976394, 0.05359676878512354]]"
2026-07-02,10,-0.004769249320443925,-0.01447118465834971,0.005974587433762224,0.006472304232478735,0.005974587433762224,600584,-0.3464428773893121,0.08254816872070814,688235,0.02815990625523801,-0.03335796511041278,"[[""600584"", -0.3464428773893121, 0.08254816872070814], [""300655"", -0.2804286898628553, -0.17803736139524518], [""002371"", -0.26867624702756854, 0.0024905698427466483], [""688525"", -0.21663810780988835, -0.06834532374100721], [""300751"", -0.1641916943553191, -0.017153808434404172], [""300136"", -0.14561984316273402, -0.016039631154277534], [""603662"", -0.08466178491348075, 0.10478172713953393], [""300442"", -0.06554504776270353, -0.0489855395610852], [""600118"", 0.010759670356644158, 0.12440667048900411], [""688235"", 0.02815990625523801, -0.03335796511041278]]"
2026-07-03,10,-0.05782862672251212,-0.03696760752732828,-0.04128763301326867,-0.031290725688499776,-0.04128763301326867,688525,-0.33797145368440507,-0.2455777994791667,603019,-0.006686665448949025,0.12772284098512987,"[[""688525"", -0.33797145368440507, -0.2455777994791667], [""002821"", -0.23863006263005748, -0.0024074036398051835], [""688333"", -0.13929375762386487, -0.11126598428665091], [""300655"", -0.13818885059709363, -0.13138688309007185], [""600428"", -0.09742854654412414, 0.10108959283949348], [""688160"", -0.08594262338902825, -0.19011545371807437], [""002342"", -0.03136317747352779, -0.11780335945083231], [""688235"", -0.02711867714556948, -0.03335796511041278], [""600276"", -0.014455691951475003, 0.02481614772526952], [""603019"", -0.006686665448949025, 0.12772284098512987]]"
2026-07-06,10,-0.039197656291206494,-0.05198712818568231,-0.0730235585407434,-0.08348270179223247,-0.0730235585407434,688017,-0.3419504788889669,0.07590759075907583,603728,-0.024078069075330832,-0.14439320939336697,"[[""688017"", -0.3419504788889669, 0.07590759075907583], [""600584"", -0.3075855498635339, 0.1163043146548064], [""000021"", -0.2734140106258427, 0.00019044421968006375], [""002821"", -0.21142552854617158, -0.0024074036398051835], [""001270"", -0.19542192597559438, -0.1598578219304191], [""603662"", -0.10196350750605165, 0.10478172713953393], [""301005"", -0.048224673936253404, -0.20084110153055634], [""688165"", -0.045282888033338575, -0.1483031380806008], [""688235"", -0.03468835052600405, -0.03335796511041278], [""603728"", -0.024078069075330832, -0.14439320939336697]]"
2026-07-07,8,-0.10132103773781173,-0.08891304607167207,-0.07783001050855826,-0.10857753076208507,-0.07783001050855826,300671,-0.4095099999999998,-0.18817697940078937,600276,0.004521350640092958,0.034730975630283156,"[[""300671"", -0.4095099999999998, -0.18817697940078937], [""300821"", -0.35187116637237836, -0.15541125945035494], [""688017"", -0.34289315099595785, 0.07590759075907583], [""001270"", -0.2603419022859582, -0.2550689089718128], [""002979"", -0.1943765969013619, -0.08445890453626459], [""605060"", -0.07835142181220678, -0.20473285082221837], [""688235"", 0.00134115919260136, -0.03335796511041278], [""600276"", 0.004521350640092958, 0.034730975630283156]]"
2026-07-08,8,-0.04076275287634981,-0.005969756788657489,0.022262181617083893,0.011533099788685507,0.022262181617083893,300821,-0.3928797609321769,-0.28431372549019607,601808,0.11338827800668727,-0.016835000617720808,"[[""300821"", -0.3928797609321769, -0.28431372549019607], [""688548"", -0.30808954659632404, -0.1753613872231058], [""688017"", -0.22637098492622176, 0.07590759075907583], [""000977"", -0.15233883876637055, -0.1013333407315341], [""603893"", -0.08883833177018874, 0.0984579430938286], [""603993"", 0.012745327903281867, 0.05020201056338758], [""002490"", 0.06024327999940349, 0.02717388663546627], [""601808"", 0.11338827800668727, -0.016835000617720808]]"
2026-07-09,8,-0.05543076024015205,-0.00782365171966797,-0.021778858799458605,-0.005867962413043504,-0.021778858799458605,300821,-0.40950999999999993,-0.3886805198835406,601808,0.1677218667158844,0.05181815407492896,"[[""300821"", -0.40950999999999993, -0.3886805198835406], [""688017"", -0.24549912142996066, 0.07590759075907583], [""000977"", -0.20036057730527346, -0.1013333407315341], [""603893"", -0.12119161935500167, -0.03809522627638462], [""600276"", -0.02182011226166325, -0.025824173751221036], [""601899"", 0.021512947938823634, 0.012857164655412978], [""002490"", 0.07199718796634613, -0.0300957307679538], [""601808"", 0.1677218667158844, 0.05181815407492896]]"
2026-07-10,4,-0.18546443050115885,-0.16480689515696703,,,-0.06734565292097344,300604,-0.40950999999999993,-0.24743703653373428,688235,-0.03873673761474894,-0.03335796511041278,"[[""300604"", -0.40950999999999993, -0.24743703653373428], [""300821"", -0.3453128886682829, -0.35972937962895424], [""000977"", -0.19912629728342823, -0.1013333407315341], [""688235"", -0.03873673761474894, -0.03335796511041278]]"
2026-07-13,7,-0.10893403374735418,-0.12547525975310017,-0.1303036435574134,-0.09104815801888594,-0.1303036435574134,688041,-0.17892916029778083,-0.009686677712878122,688270,0.05988812182662229,-0.24404761904761907,"[[""688041"", -0.17892916029778083, -0.009686677712878122], [""000977"", -0.17877274014710232, -0.1013333407315341], [""600118"", -0.08052296527189806, -0.2873255857115232], [""600879"", -0.0762005138040035, -0.2618234922297631], [""600988"", 0.011166748084632694, 0.017794549600886445], [""601899"", 0.053790181700946293, 0.12388392960095196], [""688270"", 0.05988812182662229, -0.24404761904761907]]"
2026-07-14,6,0.021053288463572906,0.041291849158649405,0.02235215109259564,0.02387135158983204,0.02235215109259564,688072,-0.3730229437558088,-0.0801395150118096,002490,-0.047590454953221006,-0.04662572458773773,"[[""688072"", -0.3730229437558088, -0.0801395150118096], [""300164"", -0.2095527414278323, 0.11705064142286448], [""600988"", -0.13957500321329586, 0.017794549600886445], [""603893"", -0.11480248043093189, 0.06446515380477624], [""600900"", -0.05592478594379813, 0.0537746255524576], [""002490"", -0.047590454953221006, -0.04662572458773773]]"
