date,current_phase,stable_phase,previous_phase,big_up_candle,big_down_candle,candle_pct,future_5d_return
2026-03-18,RANGE,RANGE,RANGE,False,False,-0.0029,-0.0909862342070526
2026-03-19,RANGE,RANGE,RANGE,False,True,-0.0453,-0.06675883863322143
2026-03-20,RANGE,RANGE,RANGE,False,False,-0.0227,-0.04062247372675839
2026-03-23,RANGE,RANGE,RANGE,False,True,-0.0965,0.0799686835924393
2026-03-24,RANGE,RANGE,RANGE,True,False,0.04,0.0430153779976342
2026-03-25,RANGE,RANGE,RANGE,True,False,0.0368,0.039726169484493215
2026-03-26,RANGE,RANGE,RANGE,False,False,-0.0198,0.030476190476190504
2026-03-27,RANGE,RANGE,RANGE,False,False,0.0047,0.03518011375605642
2026-03-30,RANGE,RANGE,RANGE,False,False,0.0171,0.018744821872410847
2026-03-31,RANGE,RANGE,RANGE,False,False,0.0045,0.042684812867305875
2026-04-01,RANGE,RANGE,RANGE,True,False,0.0335,-0.011572226656025506
2026-04-02,RANGE,RANGE,RANGE,False,False,-0.0285,0.024029574861367836
2026-04-03,RANGE,RANGE,RANGE,False,False,0.0092,0.009768009768009777
2026-04-07,RANGE,RANGE,RANGE,False,False,0.0009,0.017688319609637033
2026-04-08,RANGE,RANGE,RANGE,False,False,0.0281,-0.004845248689805151
2026-04-09,RANGE,RANGE,RANGE,False,False,-0.0203,0.019075494549858706
2026-04-10,RANGE,RANGE,RANGE,False,False,0.0065,0.005716004813477777
2026-04-13,RANGE,RANGE,RANGE,False,False,-0.0048,0.011285771866183002
2026-04-14,RANGE,RANGE,RANGE,False,False,0.0088,-9.989012086699089e-05
2026-04-15,RANGE,RANGE,RANGE,False,False,0.0053,-0.005961844197138364
2026-04-16,RANGE,RANGE,RANGE,False,False,0.0033,-0.019510745766069048
2026-04-17,RANGE,RANGE,RANGE,False,False,-0.0067,-0.02024130022933487
2026-04-20,RANGE,RANGE,RANGE,False,False,0.0007,-0.013850139497807827
2026-04-21,RANGE,RANGE,RANGE,False,False,-0.0026,-0.02777222777222782
