date,current_phase,stable_phase,previous_phase,big_up_candle,big_down_candle,candle_pct,future_20d_return
2026-03-05,RANGE,RANGE,RANGE,False,False,0.0299,-0.0791366906474821
2026-03-06,RANGE,RANGE,RANGE,False,False,-0.0071,-0.07483073999287324
2026-03-09,RANGE,RANGE,RANGE,False,False,0.0287,-0.10010391409767927
2026-03-10,WAVE_DOWN,RANGE,RANGE,False,False,0.0182,-0.05998412518426117
2026-03-11,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0016,-0.05394662123793299
2026-03-12,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0207,-0.05085122955380001
2026-03-13,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0086,-0.0012345679012345616
2026-03-16,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0109,0.008169749234085998
2026-03-17,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,True,-0.0311,0.03396182222742716
2026-03-18,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0246,0.01714481655046291
2026-03-19,RANGE,WAVE_DOWN,WAVE_DOWN,False,True,-0.0311,0.06075262474932176
2026-03-20,RANGE,RANGE,RANGE,False,False,-0.0119,0.09801814708691492
2026-03-23,RANGE,RANGE,RANGE,False,True,-0.0499,0.12339783865292797
2026-03-24,RANGE,RANGE,RANGE,False,False,0.0138,0.13832424392662365
2026-03-25,RANGE,RANGE,RANGE,False,False,0.0294,0.10391330523780867
2026-03-26,RANGE,RANGE,RANGE,False,False,-0.0131,0.13177159590043938
2026-03-27,RANGE,RANGE,RANGE,False,False,-0.0065,0.15731302959597185
2026-03-30,RANGE,RANGE,RANGE,False,False,-0.0188,0.13767209011264078
2026-03-31,WAVE_DOWN,RANGE,RANGE,False,False,-0.0163,0.15038167938931307
2026-04-01,RANGE,RANGE,WAVE_DOWN,False,False,0.0228,0.15636273168304507
2026-04-02,RANGE,RANGE,RANGE,False,False,-0.0287,0.2781762295081967
2026-04-03,RANGE,RANGE,RANGE,False,False,-0.0024,0.2678135832584414
2026-04-07,RANGE,RANGE,RANGE,False,False,0.0006,0.23556581986143188
2026-04-08,WAVE_DOWN,RANGE,RANGE,True,False,0.0636,0.2068757539203859
2026-04-09,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0048,0.16950780312124855
2026-04-10,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.024,0.18065650644783116
2026-04-13,RANGE,WAVE_DOWN,WAVE_DOWN,True,False,0.0433,0.09664007191819315
2026-04-14,RANGE,RANGE,RANGE,False,False,-0.0016,0.06314012380416432
2026-04-15,RANGE,RANGE,RANGE,False,False,-0.0063,0.11790689772341144
2026-04-16,RANGE,RANGE,RANGE,False,False,0.0079,0.1041690077536803
2026-04-17,WAVE_DOWN,RANGE,RANGE,False,False,0.0105,0.09408362989323836
2026-04-20,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0228,0.01391758182015876
2026-04-21,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0279,0.06040268456375829
2026-04-22,RANGE,WAVE_DOWN,WAVE_DOWN,False,False,0.0273,0.050195993031358875
2026-04-23,RANGE,RANGE,RANGE,False,False,-0.0017,0.02890488656195453
2026-04-24,RANGE,RANGE,RANGE,False,False,0.0118,-0.01908150064683064
2026-04-27,RANGE,RANGE,RANGE,False,False,0.016,-0.03172750424448212
2026-04-28,STRONG_DOWN,RANGE,RANGE,False,True,-0.0354,-0.029482948294829555
2026-04-29,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0053,-0.05551869055518686
2026-04-30,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0281,-0.07465576592082614
2026-05-06,RANGE,RANGE,STRONG_DOWN,True,False,0.0736,-0.13507014028056116
2026-05-07,RANGE,RANGE,RANGE,False,False,-0.0105,-0.14531645569620247
2026-05-08,RANGE,RANGE,RANGE,False,False,-0.0248,-0.14465212876427821
2026-05-11,STRONG_UP,RANGE,RANGE,True,False,0.0389,-0.2152923538230884
2026-05-12,STRONG_UP,STRONG_UP,STRONG_UP,False,False,-0.0263,-0.174707452268528
2026-05-13,STRONG_UP,STRONG_UP,STRONG_UP,True,False,0.0338,-0.1788303048356667
2026-05-14,STRONG_UP,STRONG_UP,STRONG_UP,False,True,-0.031,-0.16620555384773028
2026-05-15,STRONG_UP,STRONG_UP,STRONG_UP,False,True,-0.0321,-0.13031971204742737
2026-05-18,STRONG_UP,STRONG_UP,STRONG_UP,True,False,0.0449,-0.1342451874366768
2026-05-19,STRONG_UP,STRONG_UP,STRONG_UP,False,False,-0.0045,-0.14034194992876048
2026-05-20,WAVE_UP,STRONG_UP,STRONG_UP,False,False,0.0012,-0.12065460459442967
2026-05-21,RANGE,STRONG_UP,WAVE_UP,False,True,-0.0521,-0.049008042895442284
2026-05-22,RANGE,RANGE,RANGE,False,False,0.0166,-0.06097046413502111
2026-05-25,RANGE,RANGE,RANGE,False,False,0.0174,-0.09735614307931571
2026-05-26,RANGE,RANGE,RANGE,False,False,-0.022,-0.05724583907558562
2026-05-27,RANGE,RANGE,RANGE,False,True,-0.0354,0.07506319375755575
2026-05-28,RANGE,RANGE,RANGE,False,False,0.0029,0.08230136986301376
2026-05-29,RANGE,RANGE,RANGE,False,True,-0.0332,0.10496486057583321
2026-06-01,RANGE,RANGE,RANGE,False,True,-0.032,0.2556206088992974
2026-06-02,RANGE,RANGE,RANGE,False,False,0.0073,0.19100209253661948
2026-06-03,RANGE,RANGE,RANGE,False,False,0.0035,0.09545875810936064
2026-06-04,RANGE,RANGE,RANGE,False,False,-0.0222,0.09810426540284362
2026-06-05,RANGE,RANGE,RANGE,False,False,-0.0241,0.14799077333980815
2026-06-08,RANGE,RANGE,RANGE,False,True,-0.0469,0.19093109158069027
2026-06-09,WAVE_DOWN,RANGE,RANGE,False,False,0.0241,0.22077114427860695
2026-06-10,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0286,0.25743651753325264
2026-06-11,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0161,0.32112572201056894
2026-06-12,RANGE,WAVE_DOWN,WAVE_DOWN,False,False,0.0096,0.2919050517346316
2026-06-15,WAVE_DOWN,WAVE_DOWN,RANGE,True,False,0.0402,0.19251023990637803
2026-06-16,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0115,0.1454954421688174
2026-06-17,RANGE,WAVE_DOWN,WAVE_DOWN,False,False,0.0242,0.1288868338920355
2026-06-18,RANGE,RANGE,RANGE,False,False,0.0251,-0.008908434821831374
2026-06-22,RANGE,RANGE,RANGE,False,False,0.0038,0.022691529993260056
2026-06-23,RANGE,RANGE,RANGE,False,False,-0.022,0.12428210429588782
2026-06-24,RANGE,RANGE,RANGE,False,False,0.0215,0.1486562464860002
2026-06-25,RANGE,RANGE,RANGE,True,False,0.1,0.0
2026-06-26,RANGE,RANGE,RANGE,False,False,0.0096,-0.01275820170109361
2026-06-29,RANGE,RANGE,RANGE,False,False,-0.013,-0.0075913007796472
2026-06-30,RANGE,RANGE,RANGE,True,False,0.1,-0.1410985731604962
2026-07-01,WAVE_UP,RANGE,RANGE,False,True,-0.0446,-0.15431918008784776
2026-07-02,WAVE_UP,WAVE_UP,WAVE_UP,False,True,-0.077,-0.1434010152284264
2026-07-03,WAVE_UP,WAVE_UP,WAVE_UP,False,False,-0.0199,-0.09948208890807092
2026-07-06,RANGE,WAVE_UP,WAVE_UP,False,False,0.0203,-0.11495346869712357
2026-07-07,RANGE,RANGE,RANGE,False,False,-0.0112,-0.08502673796791448
2026-07-08,RANGE,RANGE,RANGE,True,False,0.0497,-0.09679062659195109
2026-07-09,WAVE_UP,RANGE,RANGE,True,False,0.0595,-0.15568804692758917
2026-07-10,WAVE_UP,WAVE_UP,WAVE_UP,True,False,0.0338,-0.17423255813953492
2026-07-13,STRONG_UP,WAVE_UP,WAVE_UP,False,False,-0.0127,-0.18741166493922548
2026-07-14,WAVE_UP,WAVE_UP,STRONG_UP,False,True,-0.0399,-0.15260058881256144
2026-07-15,WAVE_UP,WAVE_UP,WAVE_UP,False,True,-0.0504,-0.10686233980983881
2026-07-16,WAVE_UP,WAVE_UP,WAVE_UP,False,False,0.0093,-0.0822240425967643
2026-07-17,RANGE,WAVE_UP,WAVE_UP,False,True,-0.1,0.016725452269882795
2026-07-20,RANGE,RANGE,RANGE,True,False,0.0358,-0.005272407732864718
2026-07-21,RANGE,RANGE,RANGE,True,False,0.0751,-0.08183489987740081
2026-07-22,RANGE,RANGE,RANGE,True,False,0.0436,-0.16789035731767013
2026-07-23,RANGE,RANGE,RANGE,False,True,-0.0424,-0.1378041300347576
2026-07-24,RANGE,RANGE,RANGE,False,False,-0.0033,-0.13733333333333334
2026-07-27,RANGE,RANGE,RANGE,False,False,-0.0078,-0.15050651230101292
2026-07-28,RANGE,RANGE,RANGE,False,True,-0.048,-0.09674267100977195
2026-07-29,RANGE,RANGE,RANGE,False,True,-0.0593,-0.02758541089566021
