anchor,last_close,real_close,kronos_pred_close,naive_pred_close,mr_pred_close,mom_pred_close,kronos_ret,real_ret,naive_ret,mr_ret,mom_ret,kronos_resid,regime
2024-06-28,1363.93,1349.54,1476.6910400390625,1363.93,1516.566333333333,1228.199757635377,0.08267362697430403,-0.01055039481498321,0.0,0.1119092133271744,-0.09951408236832027,-0.09322402178928724,bear
2024-07-05,1349.54,1375.36,1470.990478515625,1349.54,1499.9701666666667,1209.760547603074,0.08999398203508235,0.019132445129451447,0.0,0.11146773468490512,-0.10357562754488636,-0.0708615369056309,bear
2024-07-12,1375.36,1422.16,1469.8570556640625,1375.36,1485.3988333333336,1331.5044624329535,0.06870714261288868,0.03402745463006074,0.0,0.08000729505971793,-0.03188658792392274,-0.034679687982827945,bear
2024-07-19,1422.16,1318.73,1494.1260986328125,1422.16,1473.738,1478.961540869006,0.05060337699894002,-0.07272740057377514,0.0,0.03626736794734775,0.039940330812992864,-0.12333077757271516,bear
2024-07-26,1318.73,1281.99,1469.234375,1318.73,1455.5504999999998,1275.0279067840725,0.11412827113965718,-0.02786013816323285,0.0,0.10375171566582986,-0.033139530621073,-0.14198840930289003,bear
2024-08-02,1281.99,1333.34,1447.627685546875,1281.99,1428.3860000000002,1217.821153948753,0.12920357065723986,0.04005491462491895,0.0,0.11419433848937999,-0.05005409250559456,-0.08914865603232092,bear
2024-08-09,1333.34,1327.74,1476.6231689453125,1333.34,1406.73,1292.6037950791065,0.10746183939978748,-0.004199979000104936,0.0,0.055042224788876215,-0.030552000930665457,-0.11166181839989242,bear
2024-08-16,1327.74,1311.53,1455.1402587890625,1327.74,1386.1663333333333,1239.5887295381672,0.09595271573430231,-0.012208715561781713,0.0,0.04400434824087052,-0.06639196714856288,-0.10816143129608402,bear
2024-08-23,1311.53,1339.73,1427.0755615234375,1311.53,1368.0053333333333,1304.3693105487855,0.08809982350646761,0.02150160499569198,0.0,0.043060649267140816,-0.005459798442440822,-0.06659821851077563,bear
2024-08-30,1339.73,1294.54,1429.456298828125,1339.73,1351.1904999999997,1400.070572235353,0.06697341914275645,-0.0337306770767245,0.0,0.008554335575078342,0.04503935288106775,-0.10070409621948095,bear
2024-09-06,1294.54,1200.67,1400.939697265625,1294.54,1339.397333333333,1256.869074354628,0.08219112369306858,-0.072512243731364,0.0,0.03465117596469258,-0.029099854500727607,-0.15470336742443258,bear
2024-09-13,1200.67,1269.14,1372.783203125,1200.67,1327.7115,1085.761104508413,0.14334763350879087,0.05702649354110623,0.0,0.10580884006429736,-0.09570397818850074,-0.08632113996768465,bear
2024-09-20,1160.46,1525.74,1363.9693603515625,1160.46,1316.7015,1024.7674577664143,0.1753695606497101,0.3147717284525102,0.0,0.1346375575202936,-0.11692996073417938,0.13940216780280013,bear
2024-09-27,1525.74,1501.53,1460.9163818359375,1525.74,1313.4078333333334,1810.8207816170639,-0.042486674114896705,-0.015867710094773724,0.0,-0.13916667759032775,0.1868475504457272,0.02661896402012298,range
2024-10-04,1644.54,1498.53,1472.1373291015625,1644.54,1317.778833333333,2064.765018322849,-0.10483337036401519,-0.08878470575358455,0.0,-0.19869456909936334,0.25552739265864544,0.01604866461043064,range
2024-10-11,1501.53,1437.54,1471.26220703125,1501.53,1331.3541666666667,1738.9300298486742,-0.020157967518963926,-0.042616531138239044,0.0,-0.11333495390257486,0.15810541903836373,-0.022458563619275118,range
2024-10-18,1437.54,1455.39,1430.3446044921875,1437.54,1336.706333333333,1618.8456700142572,-0.005005353247779176,0.012417045786552228,0.0,-0.07014320760929571,0.1261221740015981,0.017422399034331404,range
2024-10-25,1455.39,1430.29,1475.851318359375,1455.39,1342.2596666666664,1825.276228478362,0.01405899336904537,-0.017246236403988036,0.0,-0.07773197104098128,0.2541492166899333,-0.031305229773033405,range
2024-11-01,1430.29,1506.51,1466.189453125,1430.29,1352.8961666666667,1340.8113335823928,0.025099422582133712,0.05328989225961167,0.0,-0.05411058829561366,-0.06255980704445052,0.02819046967747796,range
2024-11-08,1506.51,1455.54,1457.9677734375,1506.51,1368.7874999999997,1511.5065167529121,-0.03222164244678094,-0.03383316406794512,0.0,-0.09141824481749228,0.0033166170506084836,-0.0016115216211641803,bull
2024-11-15,1455.54,1404.36,1425.353271484375,1455.54,1381.2309999999998,1473.7653850327645,-0.020739195429617108,-0.03516220784038915,0.0,-0.051052530332385326,0.012521390709128166,-0.01442301241077204,bull
2024-11-22,1404.36,1422.28,1391.8363037109375,1404.36,1390.8118333333334,1355.119252983736,-0.00891772500574095,0.012760260901763187,0.0,-0.009647217712457246,-0.03506276668109587,0.021677985907504138,bull
2024-11-29,1422.28,1417.55,1453.261474609375,1422.28,1399.8159999999996,1414.314858105699,0.021782964401787952,-0.0033256461456253605,0.0,-0.015794358354192184,-0.005600262883750817,-0.025108610547413313,bull
2024-12-06,1417.55,1415.54,1400.354736328125,1417.55,1408.8536666666666,1333.8431225149518,-0.012130269600278631,-0.0014179394024902425,0.0,-0.006134763030110624,-0.05905038798282114,0.010712330197788389,bull
2024-12-13,1415.54,1442.42,1395.949462890625,1415.54,1421.3521666666668,1376.6392483889142,-0.013839620999318236,0.018989219661754708,0.0,0.004105971337204695,-0.02748120972285184,0.032828840661072944,bull
2024-12-20,1442.42,1449.39,1456.5380859375,1442.42,1443.3951666666665,1481.5114759748215,0.009787777441729872,0.004832157069369458,0.0,0.0006760629127899875,0.027101313053633058,-0.004955620372360414,bull
