,contrarian,bullish,bottom_3,equal_weight
2024-09-02,1.0,1.0,1.0,1.0
2024-09-03,1.0,1.0,1.0,1.0
2024-09-04,1.0,1.0,1.0,1.0
2024-09-05,1.0,1.0,1.0,1.0
2024-09-06,1.01375030421027,0.927487756268636,0.9642789691532889,0.9592907865833795
2024-09-09,1.01375030421027,0.927487756268636,0.9642789691532889,0.9592907865833795
2024-09-10,1.01375030421027,0.927487756268636,0.9642789691532889,0.9592907865833795
2024-09-11,1.01375030421027,0.927487756268636,0.9642789691532889,0.9592907865833795
2024-09-12,1.01375030421027,0.927487756268636,0.9642789691532889,0.9592907865833795
2024-09-13,1.0182526162083232,0.8964265298870641,0.9733494886348114,0.9627939953100395
2024-09-16,1.0182526162083232,0.8964265298870641,0.9733494886348114,0.9627939953100395
2024-09-17,1.0182526162083232,0.8964265298870641,0.9733494886348114,0.9627939953100395
2024-09-18,1.0182526162083232,0.8964265298870641,0.9733494886348114,0.9627939953100395
2024-09-19,1.0182526162083232,0.8964265298870641,0.9733494886348114,0.9627939953100395
2024-09-20,1.4020697122353287,1.178596258130301,1.2088577449411997,1.1845791685825173
2024-09-23,1.4020697122353287,1.178596258130301,1.2088577449411997,1.1845791685825173
2024-09-24,1.4020697122353287,1.178596258130301,1.2088577449411997,1.1845791685825173
2024-09-25,1.4020697122353287,1.178596258130301,1.2088577449411997,1.1845791685825173
2024-09-26,1.4020697122353287,1.178596258130301,1.2088577449411997,1.1845791685825173
2024-09-27,1.602365385411804,1.2510544286001204,1.3847956459878397,1.330825064003466
2024-09-30,1.602365385411804,1.2510544286001204,1.3847956459878397,1.330825064003466
2024-10-01,1.602365385411804,1.2510544286001204,1.3847956459878397,1.330825064003466
2024-10-02,1.602365385411804,1.2510544286001204,1.3847956459878397,1.330825064003466
2024-10-03,1.602365385411804,1.2510544286001204,1.3847956459878397,1.330825064003466
2024-10-04,1.708765627877362,1.263762190753304,1.4763804368340179,1.3822917170159346
2024-10-07,1.708765627877362,1.263762190753304,1.4763804368340179,1.3822917170159346
2024-10-08,1.708765627877362,1.263762190753304,1.4763804368340179,1.3822917170159346
2024-10-09,1.708765627877362,1.263762190753304,1.4763804368340179,1.3822917170159346
2024-10-10,1.708765627877362,1.263762190753304,1.4763804368340179,1.3822917170159346
2024-10-11,1.7395541977490263,1.2099050299997367,1.5003337646531303,1.3707160249878754
2024-10-14,1.7395541977490263,1.2099050299997367,1.5003337646531303,1.3707160249878754
2024-10-15,1.7395541977490263,1.2099050299997367,1.5003337646531303,1.3707160249878754
2024-10-16,1.7395541977490263,1.2099050299997367,1.5003337646531303,1.3707160249878754
2024-10-17,1.7395541977490263,1.2099050299997367,1.5003337646531303,1.3707160249878754
2024-10-18,1.7420371469322247,1.2249284761546233,1.499415037617289,1.3842210913969297
2024-10-21,1.7420371469322247,1.2249284761546233,1.499415037617289,1.3842210913969297
2024-10-22,1.7420371469322247,1.2249284761546233,1.499415037617289,1.3842210913969297
2024-10-23,1.7420371469322247,1.2249284761546233,1.499415037617289,1.3842210913969297
2024-10-24,1.7420371469322247,1.2249284761546233,1.499415037617289,1.3842210913969297
2024-10-25,1.6396150876154136,1.2038030700768838,1.4563190166166642,1.3469734348564115
2024-10-28,1.6396150876154136,1.2038030700768838,1.4563190166166642,1.3469734348564115
2024-10-29,1.6396150876154136,1.2038030700768838,1.4563190166166642,1.3469734348564115
2024-10-30,1.6396150876154136,1.2038030700768838,1.4563190166166642,1.3469734348564115
2024-10-31,1.6396150876154136,1.2038030700768838,1.4563190166166642,1.3469734348564115
2024-11-01,1.6777232346944422,1.2789199599408259,1.4939632555362394,1.3990302485986692
2024-11-04,1.6777232346944422,1.2789199599408259,1.4939632555362394,1.3990302485986692
2024-11-05,1.6777232346944422,1.2789199599408259,1.4939632555362394,1.3990302485986692
2024-11-06,1.6777232346944422,1.2789199599408259,1.4939632555362394,1.3990302485986692
2024-11-07,1.6777232346944422,1.2789199599408259,1.4939632555362394,1.3990302485986692
2024-11-08,1.630449837052103,1.2443333107475891,1.4501241078452054,1.3568745360216603
2024-11-11,1.630449837052103,1.2443333107475891,1.4501241078452054,1.3568745360216603
2024-11-12,1.630449837052103,1.2443333107475891,1.4501241078452054,1.3568745360216603
2024-11-13,1.630449837052103,1.2443333107475891,1.4501241078452054,1.3568745360216603
2024-11-14,1.630449837052103,1.2443333107475891,1.4501241078452054,1.3568745360216603
2024-11-15,1.6055574731276434,1.19389731560782,1.4037120756593158,1.3088755066085285
2024-11-18,1.6055574731276434,1.19389731560782,1.4037120756593158,1.3088755066085285
2024-11-19,1.6055574731276434,1.19389731560782,1.4037120756593158,1.3088755066085285
2024-11-20,1.6055574731276434,1.19389731560782,1.4037120756593158,1.3088755066085285
2024-11-21,1.6055574731276434,1.19389731560782,1.4037120756593158,1.3088755066085285
2024-11-22,1.5840678393677343,1.1898477101586415,1.4099850907421234,1.3140336879025996
2024-11-25,1.5840678393677343,1.1898477101586415,1.4099850907421234,1.3140336879025996
2024-11-26,1.5840678393677343,1.1898477101586415,1.4099850907421234,1.3140336879025996
2024-11-27,1.5840678393677343,1.1898477101586415,1.4099850907421234,1.3140336879025996
2024-11-28,1.5840678393677343,1.1898477101586415,1.4099850907421234,1.3140336879025996
2024-11-29,1.6266339617307826,1.2137954957183783,1.4199099583017685,1.335931516868089
2024-12-02,1.6266339617307826,1.2137954957183783,1.4199099583017685,1.335931516868089
2024-12-03,1.6266339617307826,1.2137954957183783,1.4199099583017685,1.335931516868089
2024-12-04,1.6266339617307826,1.2137954957183783,1.4199099583017685,1.335931516868089
2024-12-05,1.6266339617307826,1.2137954957183783,1.4199099583017685,1.335931516868089
2024-12-06,1.6458357791925595,1.212074407258434,1.4154525553616997,1.3293958597954318
2024-12-09,1.6458357791925595,1.212074407258434,1.4154525553616997,1.3293958597954318
2024-12-10,1.6458357791925595,1.212074407258434,1.4154525553616997,1.3293958597954318
2024-12-11,1.6458357791925595,1.212074407258434,1.4154525553616997,1.3293958597954318
2024-12-12,1.6458357791925595,1.212074407258434,1.4154525553616997,1.3293958597954318
2024-12-13,1.6770889163308222,1.1693857723812413,1.4394733555391268,1.3350729390949327
2024-12-16,1.6770889163308222,1.1693857723812413,1.4394733555391268,1.3350729390949327
2024-12-17,1.6770889163308222,1.1693857723812413,1.4394733555391268,1.3350729390949327
2024-12-18,1.6770889163308222,1.1693857723812413,1.4394733555391268,1.3350729390949327
2024-12-19,1.6770889163308222,1.1693857723812413,1.4394733555391268,1.3350729390949327
2024-12-20,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-23,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-24,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-25,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-26,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-27,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-30,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
2024-12-31,1.7140243678243707,1.1750364281080734,1.4797395998503036,1.3573782248245405
