date,symbol,last_close,pred_close,real_close,pred_ret,real_ret,strategy,rank_pred,n_candidates
2024-09-06,002594,82.18,82.35599517822266,83.31,0.0021415816284089395,0.013750304210270015,contrarian,0,5
2024-09-06,600519,1294.54,1326.03662109375,1200.67,0.024330357573925987,-0.072512243731364,bullish,4,5
2024-09-06,002594,82.18,82.35599517822266,83.31,0.0021415816284089395,0.013750304210270015,bottom_3,0,5
2024-09-06,000001,8.88,8.92634105682373,8.5,0.0052185874801498056,-0.04279279279279291,bottom_3,1,5
2024-09-06,000858,106.63,107.74596405029297,98.3,0.010465760576694905,-0.07812060395761045,bottom_3,2,5
2024-09-06,000001,8.88,8.92634105682373,8.5,0.0052185874801498056,-0.04279279279279291,equal_weight,1,5
2024-09-06,000858,106.63,107.74596405029297,98.3,0.010465760576694905,-0.07812060395761045,equal_weight,2,5
2024-09-06,002594,82.18,82.35599517822266,83.31,0.0021415816284089395,0.013750304210270015,equal_weight,0,5
2024-09-06,600036,27.23,27.69514274597168,26.58,0.017081995812401107,-0.023870730811604957,equal_weight,3,5
2024-09-06,600519,1294.54,1326.03662109375,1200.67,0.024330357573925987,-0.072512243731364,equal_weight,4,5
2024-09-13,002594,83.31,82.11335754394531,83.68,-0.014363731317425188,0.00444124354819353,contrarian,0,5
2024-09-13,600519,1200.67,1223.9061279296875,1160.46,0.01935263472035409,-0.033489634953817515,bullish,4,5
2024-09-13,002594,83.31,82.11335754394531,83.68,-0.014363731317425188,0.00444124354819353,bottom_3,0,5
2024-09-13,600036,26.58,26.384536743164062,26.92,-0.007353771889990091,0.012791572610985735,bottom_3,1,5
2024-09-13,000858,98.3,99.11410522460938,99.38,0.008281843587073956,0.010986775178026376,bottom_3,2,5
2024-09-13,000001,8.5,8.576664924621582,8.7,0.009019402896656814,0.0235294117647058,equal_weight,3,5
2024-09-13,000858,98.3,99.11410522460938,99.38,0.008281843587073956,0.010986775178026376,equal_weight,2,5
2024-09-13,002594,83.31,82.11335754394531,83.68,-0.014363731317425188,0.00444124354819353,equal_weight,0,5
2024-09-13,600036,26.58,26.384536743164062,26.92,-0.007353771889990091,0.012791572610985735,equal_weight,1,5
2024-09-13,600519,1200.67,1223.9061279296875,1160.46,0.01935263472035409,-0.033489634953817515,equal_weight,4,5
2024-09-20,000858,99.38,98.33837890625,136.84,-0.010481194342423006,0.3769370094586437,contrarian,0,5
2024-09-20,600519,1160.46,1185.226806640625,1525.74,0.021342232080920454,0.3147717284525102,bullish,4,5
2024-09-20,000858,99.38,98.33837890625,136.84,-0.010481194342423006,0.3769370094586437,bottom_3,0,5
2024-09-20,600036,26.92,26.638090133666992,31.61,-0.010472134707764091,0.17421991084695376,bottom_3,1,5
2024-09-20,000001,8.7,8.619009017944336,10.22,-0.009309308282260176,0.1747126436781612,bottom_3,2,5
2024-09-20,000001,8.7,8.619009017944336,10.22,-0.009309308282260176,0.1747126436781612,equal_weight,2,5
2024-09-20,000858,99.38,98.33837890625,136.84,-0.010481194342423006,0.3769370094586437,equal_weight,0,5
2024-09-20,002594,83.68,82.92981719970703,92.98,-0.008964899621091926,0.1111376673040152,equal_weight,3,5
2024-09-20,600036,26.92,26.638090133666992,31.61,-0.010472134707764091,0.17421991084695376,equal_weight,1,5
2024-09-20,600519,1160.46,1185.226806640625,1525.74,0.021342232080920454,0.3147717284525102,equal_weight,4,5
2024-09-27,000001,10.22,9.402716636657715,11.68,-0.07996901793955824,0.1428571428571428,contrarian,0,5
2024-09-27,600519,1525.74,1505.860595703125,1619.54,-0.013029352508864611,0.0614783645968513,bullish,4,5
2024-09-27,000001,10.22,9.402716636657715,11.68,-0.07996901793955824,0.1428571428571428,bottom_3,0,5
2024-09-27,002594,92.98,86.56791687011719,107.44,-0.06896196095808582,0.15551731555173154,bottom_3,1,5
2024-09-27,600036,31.61,30.034059524536133,35.98,-0.049855756895408665,0.1382473900664345,bottom_3,2,5
2024-09-27,000001,10.22,9.402716636657715,11.68,-0.07996901793955824,0.1428571428571428,equal_weight,0,5
2024-09-27,000858,136.84,133.48365783691406,153.15,-0.024527493153215008,0.11919029523531122,equal_weight,3,5
2024-09-27,002594,92.98,86.56791687011719,107.44,-0.06896196095808582,0.15551731555173154,equal_weight,1,5
2024-09-27,600036,31.61,30.034059524536133,35.98,-0.049855756895408665,0.1382473900664345,equal_weight,2,5
2024-09-27,600519,1525.74,1505.860595703125,1619.54,-0.013029352508864611,0.0614783645968513,equal_weight,4,5
2024-10-04,002594,100.75,89.29541015625,107.44,-0.11369319944168732,0.0664019851116624,contrarian,0,5
2024-10-04,000858,151.61,143.39694213867188,153.15,-0.054172270043718385,0.010157641316535848,bullish,4,5
2024-10-04,002594,100.75,89.29541015625,107.44,-0.11369319944168732,0.0664019851116624,bottom_3,0,5
2024-10-04,600036,33.59,29.99173355102539,35.98,-0.10712314525080713,0.07115212860970499,bottom_3,1,5
