date,n,ic,rank_ic,da,up_cap,dn_cap
2025-06-06,60,-0.22014712031166478,-0.15093920218929388,0.4318181818181818,0.6956521739130435,0.32432432432432434
2025-06-13,60,-0.014344189224606257,0.04012225618227286,0.5471698113207547,0.625,0.5384615384615384
2025-06-20,60,0.3156204152881281,0.13348152264517923,0.4186046511627907,0.8,0.28
2025-06-27,60,-0.2687014655865219,-0.16671297582661854,0.32653061224489793,0.6923076923076923,0.23404255319148937
2025-07-04,60,-0.291788787493441,-0.23400944706863022,0.45454545454545453,0.23076923076923078,0.46808510638297873
2025-07-11,60,-0.3654953789868271,-0.29647124201166997,0.3333333333333333,0.5,0.3333333333333333
2025-07-18,60,0.3497313265138194,0.33698249513753825,0.4375,0.9090909090909091,0.40816326530612246
2025-07-25,60,-0.4346557570794078,-0.20905807168657967,0.5,0.07142857142857142,0.5869565217391305
2025-08-01,60,0.30225938854906204,0.21617115865518202,0.4897959183673469,0.8,0.4222222222222222
2025-08-08,60,-0.40527319252763827,-0.17749374826340653,0.4423076923076923,0.6923076923076923,0.3617021276595745
2025-08-15,60,0.12053386082865707,0.07396499027507641,0.3018867924528302,0.9090909090909091,0.22448979591836735
2025-08-22,60,-0.4595280293226191,-0.30191719922200616,0.22,1.0,0.22413793103448276
2025-08-29,60,0.21701558447874972,0.20650180605723814,0.6909090909090909,0.5,0.6724137931034483
2025-09-05,60,-0.43394433752762923,-0.35298694081689364,0.16071428571428573,0.8888888888888888,0.0784313725490196
2025-09-12,60,0.07844184844575454,0.0008335648791330927,0.48,0.2,0.4727272727272727
2025-09-19,60,-0.16221088965828262,-0.1823284245623785,0.34782608695652173,0.5,0.375
2025-09-26,60,0.19252640234403265,0.37193664906918594,0.5094339622641509,1.0,0.4482758620689655
2025-10-03,60,0.11143541947778562,0.21194776326757436,0.6610169491525424,0.5,0.6785714285714286
2025-10-10,60,0.22557980000545289,0.21539316476799114,0.7222222222222222,0.0,0.7321428571428571
2025-10-17,60,0.16720572647299725,0.2157265907196444,0.5882352941176471,,0.5333333333333333
2025-10-24,60,-0.36012341645074264,-0.3820505696026675,0.23076923076923078,0.5,0.23214285714285715
2025-10-31,60,0.17918356237079774,0.32964712420116704,0.625,0.75,0.6785714285714286
2025-11-07,60,0.3031924139778936,0.30519588774659634,0.625,0.75,0.5714285714285714
2025-11-14,60,0.24913573690392316,0.3890525145873855,0.8333333333333334,0.42857142857142855,0.8679245283018868
2025-11-21,60,-0.008809744783150454,-0.051903306474020576,0.5,0.375,0.5192307692307693
2025-11-28,60,-0.1684094721634539,-0.09185884968046681,0.38,0.5384615384615384,0.3404255319148936
2025-12-05,60,-0.3675360205374772,-0.3054737427063074,0.4,0.4,0.46
2025-12-12,60,0.14398097920648179,0.2122256182272854,0.6046511627906976,0.6,0.56
2025-12-19,60,-0.17516968548974984,-0.24923589886079467,0.1702127659574468,0.5833333333333334,0.0625
2025-12-26,60,-0.32995489242516096,0.029063628785773836,0.2857142857142857,0.5714285714285714,0.2641509433962264
2026-01-02,60,0.13991885751136757,0.20722422895248685,0.4,0.9230769230769231,0.2553191489361702
2026-01-09,60,-0.0732452732390685,-0.10725201444845793,0.32,0.6666666666666666,0.27450980392156865
2026-01-16,60,0.09487509528301839,0.06535148652403447,0.42592592592592593,0.42857142857142855,0.4339622641509434
2026-01-23,60,-0.35480380040823406,-0.2977493748263407,0.5192307692307693,0.0,0.5740740740740741
2026-01-30,60,0.35831799534036834,0.4052792442345097,0.76,0.4444444444444444,0.7254901960784313
2026-02-06,60,0.04762542602269771,-0.05518199499861073,0.3018867924528302,0.6363636363636364,0.2653061224489796
2026-02-13,60,-0.1374947662598076,-0.18116143373159213,0.3090909090909091,0.375,0.36538461538461536
2026-02-20,60,-0.22127676872973256,-0.3408724645734927,0.25,0.4,0.24
2026-02-27,60,-0.6244439611987791,-0.32936926924145604,0.5925925925925926,0.3,0.64
2026-03-06,60,0.5210464346607296,0.5762156154487359,0.7592592592592593,0.7777777777777778,0.7450980392156863
2026-03-13,60,-0.16831198931569577,0.05812725757154767,0.7358490566037735,0.2,0.7454545454545455
2026-03-20,60,-0.052241531207624065,-0.10369547096415672,0.5961538461538461,0.0,0.723404255319149
2026-03-27,60,0.015455115759316814,-0.02823006390664074,0.5,0.3076923076923077,0.5957446808510638
2026-04-03,60,-0.14245098373790188,-0.014003889969435957,0.48148148148148145,0.88,0.2
2026-04-10,60,0.0382331364276994,0.1376493470408447,0.42105263157894735,0.8888888888888888,0.3137254901960784
2026-04-17,60,-0.34295822719040436,-0.1440400111141984,0.46808510638297873,0.5555555555555556,0.47058823529411764
2026-04-24,60,0.26389576237767204,0.24340094470686308,0.6222222222222222,1.0,0.5094339622641509
2026-05-01,60,0.026699265075760585,0.0809669352597944,0.43859649122807015,0.7647058823529411,0.27906976744186046
2026-05-08,60,-0.05713890024383552,-0.009836065573770493,0.5961538461538461,0.5,0.62
2026-05-15,60,0.03882107615792112,0.04795776604612393,0.6727272727272727,0.16666666666666666,0.7708333333333334
2026-05-22,60,-0.4760028403736444,-0.3392609058071687,0.4528301886792453,0.3076923076923077,0.48936170212765956
2026-05-29,60,-0.3390281058593286,-0.2876354542928592,0.5,0.0625,0.6590909090909091
2026-06-05,60,0.2775376762675162,0.2880800222283968,0.7241379310344828,0.3125,0.8863636363636364
2026-06-12,60,-0.5148049362076852,-0.5502083912197835,0.3137254901960784,0.6666666666666666,0.10256410256410256
2026-06-19,60,0.024378854455798578,0.06307307585440401,0.6607142857142857,0.4666666666666667,0.7555555555555555
2026-06-26,60,0.4471957607490629,0.4477354820783552,0.6724137931034483,0.6666666666666666,0.6875
2026-07-03,60,0.09319005572913502,0.06774103917754933,0.5370370370370371,0.42105263157894735,0.5365853658536586
2026-07-10,60,0.25528233186563914,0.30025006946374,0.6274509803921569,0.391304347826087,0.7837837837837838
2026-07-17,60,0.3596878179572091,0.3064184495693249,0.5714285714285714,0.6296296296296297,0.5151515151515151
2026-07-24,60,0.3597979435082017,0.36298971936649077,0.6153846153846154,0.42105263157894735,0.7804878048780488
2026-07-31,60,0.31917977188375135,0.1510419560989164,0.5769230769230769,0.8,0.3333333333333333
