date,quintile,n,mean_pred_ret,mean_real_ret,median_real_ret
2025-06-06,1,12,-0.10839741989762448,0.04163999012413309,0.03345733693916231
2025-06-06,2,12,-0.044056443746375046,0.04206418010193402,0.01047731533460261
2025-06-06,3,12,-0.016653241052426288,0.01575891672051985,0.020300523533597792
2025-06-06,4,12,0.007719963704370882,0.00957090853910377,0.007260856490283518
2025-06-06,5,12,0.033775736207610874,0.012595691588713718,0.009651609740794043
2025-06-13,1,12,-0.11514730495963306,0.03929228426389058,0.027052704351342993
2025-06-13,2,12,-0.055944480379224594,0.005430769068734992,-0.017502003997848736
2025-06-13,3,12,-0.03399596082130768,0.011370316520200319,-0.002885728760519901
2025-06-13,4,12,-0.015524753729333374,0.07547931156094258,-0.0067882555739802175
2025-06-13,5,12,0.018848841193718147,0.03464566408791589,0.01023444294498832
2025-06-20,1,12,-0.1817320193747305,-0.03139669490484248,0.011826299067922208
2025-06-20,2,12,-0.05766890014005105,0.030706044339024702,0.010302802448096116
2025-06-20,3,12,-0.0361052236841452,-0.007670796282636755,-0.01093995134262521
2025-06-20,4,12,-0.01743939127955113,0.02298712669971011,0.027799994580430143
2025-06-20,5,12,0.01829797373888664,0.019343795985930334,0.012032990130025678
2025-06-27,1,12,-0.13572782901236743,0.06478608705496416,0.07105493360457849
2025-06-27,2,12,-0.04572692271751997,0.028581825187906484,0.017013316038567927
2025-06-27,3,12,-0.02634134858580491,0.023529420850051663,0.013803465610694565
2025-06-27,4,12,-0.009656431803075719,0.029646329203879884,0.025687950264215775
2025-06-27,5,12,0.021956160599312824,0.017139638700262815,0.027038892133474546
2025-07-04,1,12,-0.1726928379149869,0.047275398833744736,0.04343551559673442
2025-07-04,2,12,-0.0713996858729788,0.0053013653989612275,-0.008308348173424018
2025-07-04,3,12,-0.029477616215354885,-0.00019377886657634402,-0.005978355899860788
2025-07-04,4,12,-0.01043316042806113,-0.006183003996046728,-0.00044098675945047905
2025-07-04,5,12,0.023999762908315108,-0.0071603834398619726,-0.006757520146773277
2025-07-11,1,12,-0.167312357557861,0.08272621085467098,0.08692420317603322
2025-07-11,2,12,-0.05906648550380939,0.03329348169008172,0.030324546088609794
2025-07-11,3,12,-0.031576818139153806,0.06315796062783037,0.05514044107172911
2025-07-11,4,12,-0.013217772187707819,0.0007546403102627978,-0.004801716187497473
2025-07-11,5,12,0.009977666855154629,0.009064366456184672,0.0019192059639167036
2025-07-18,1,12,-0.20714900541404957,0.002902333947584342,-0.022466595071631623
2025-07-18,2,12,-0.06607364622793122,0.03682725474867132,0.004813440455016138
2025-07-18,3,12,-0.02784093902864378,0.040198639835891926,0.0259985928652543
2025-07-18,4,12,-0.01016961881907171,0.01438714691704284,0.014418631282117289
2025-07-18,5,12,0.007284744180291625,0.0523337819501857,0.04758841940532077
2025-07-25,1,12,-0.17380186442322174,0.05665622872460754,0.0832264059452833
2025-07-25,2,12,-0.0718348313768445,-0.001807355614621022,-0.030807432729147544
2025-07-25,3,12,-0.04268804392596065,-0.011469979844177322,-0.008609168351063401
2025-07-25,4,12,-0.006778715764485706,0.0011873793285580303,-0.012801905063338892
2025-07-25,5,12,0.02025179846895177,-0.02751202755089216,-0.02981569473392698
2025-08-01,1,12,-0.22822273850587113,-0.020919061493870805,-0.03379629107029408
2025-08-01,2,12,-0.062353249837594334,0.04535553569554324,0.036656807057037444
2025-08-01,3,12,-0.02895987771011016,0.014762597411828634,0.006075432713477602
2025-08-01,4,12,-0.004035788362671017,0.015218289609314586,0.010290580198210386
2025-08-01,5,12,0.02502297077256919,0.02081635417349162,0.02180120388948914
2025-08-08,1,12,-0.15620984231968343,0.09137961013805694,0.06560647689397336
2025-08-08,2,12,-0.07073312959151039,0.009616964876615555,-0.018036640590537723
2025-08-08,3,12,-0.03563629599285764,0.013090482273747253,0.007784791245424527
2025-08-08,4,12,-0.012393507208263987,0.01014283238120465,-0.0014948148524454585
2025-08-08,5,12,0.015669452893634823,0.03036606995862462,0.030908932706712133
2025-08-15,1,12,-0.1820331057523438,0.02992069588853144,0.0035314238118213104
2025-08-15,2,12,-0.0901642937116209,0.04222536316568113,0.02896406221043768
2025-08-15,3,12,-0.03237367469000929,0.06824130219317212,0.057244234571364405
2025-08-15,4,12,-0.00946023234316599,0.05583148778493976,0.05354527938342979
2025-08-15,5,12,0.014164961349364217,0.03514365237129632,0.028729519529736236
2025-08-22,1,12,-0.18638386427426532,0.15936874269433673,0.1276502715762733
2025-08-22,2,12,-0.11127991587940127,0.12749570341404506,0.11119232077126517
2025-08-22,3,12,-0.07385408254496435,0.0008843073488228418,-0.0032010798058164647
2025-08-22,4,12,-0.039007626691692686,0.05211698493283059,0.027760527609728358
2025-08-22,5,12,-0.008874758723492257,0.04980390673276289,0.05114586517263486
2025-08-29,1,12,-0.2600517214749202,-0.08059664004376897,-0.09099047038643043
2025-08-29,2,12,-0.13719471755473547,-0.019033963012120975,-0.03443448821132444
2025-08-29,3,12,-0.08163005898853438,0.06725253958187338,0.0665919146926871
2025-08-29,4,12,-0.043042448674086825,-0.04535023968969102,-0.03298266849879872
2025-08-29,5,12,-0.008241057023238416,-0.02469453422097102,-0.036178368258060145
2025-09-05,1,12,-0.17578343040230204,0.17519244109639265,0.16378973777535966
2025-09-05,2,12,-0.09684671634578663,0.07204192838493821,0.05862213339392852
2025-09-05,3,12,-0.0658258689597783,0.054486475291509934,0.03656890972463944
2025-09-05,4,12,-0.023927985339651393,0.07566679227960711,0.05384832925272909
2025-09-05,5,12,0.013701848069545728,0.05115775110360951,0.050927929160824004
2025-09-12,1,12,-0.24437244220232757,-0.018264931610565627,-0.008355333149084987
2025-09-12,2,12,-0.14726314121661283,0.022765136131076336,0.013324882211218414
2025-09-12,3,12,-0.08980066807225102,0.035173073862504296,-0.003788346074346305
2025-09-12,4,12,-0.05301862213852881,0.006185127886281995,0.010455690672391549
2025-09-12,5,12,-0.0034093648815667343,-0.0007728473699646262,-0.013820438716283856
2025-09-19,1,12,-0.22795172209371636,0.029744887791372687,0.03637144003082238
2025-09-19,2,12,-0.14977881677555374,0.06007197094340427,0.0445470554495232
2025-09-19,3,12,-0.09984919931021884,0.06636923088994615,0.07109882517561938
2025-09-19,4,12,-0.0512215136974443,-0.011879608168137564,-0.01310718483957557
2025-09-19,5,12,-0.004189014087636232,0.01725987963175149,0.011025452175425166
2025-09-26,1,12,-0.22974491005231581,-0.02293979242660682,-0.0812943262411348
2025-09-26,2,12,-0.18395052097194883,0.023712768453145988,0.004304217512310027
2025-09-26,3,12,-0.11452190242101379,0.05395917654666507,-0.0071779372874953284
2025-09-26,4,12,-0.05490960305410186,0.021293520348135236,0.027955718955912423
2025-09-26,5,12,-0.011571877321535298,0.0376454537911575,0.04859087374682236
2025-10-03,1,12,-0.25299290493443066,-0.03232644169671244,-0.07446041579399898
2025-10-03,2,12,-0.19269306639965275,-0.019747449482600238,-0.03272376955051998
2025-10-03,3,12,-0.13472516723579347,-0.06038834283819778,-0.07192185289907116
2025-10-03,4,12,-0.06222372980614659,-0.008300747365043687,-0.02903814655980802
2025-10-03,5,12,-0.0029957847738411314,-0.007108534789809939,0.0004354175648305092
2025-10-10,1,12,-0.2722671809377533,-0.06541161543360285,-0.05575111539959937
2025-10-10,2,12,-0.18521216925838405,-0.0599595182978532,-0.08569722043569328
2025-10-10,3,12,-0.11937107656842476,-0.05477962639353517,-0.06192191601581859
2025-10-10,4,12,-0.04767420310124423,-0.00959325509000486,-0.02789864966816047
2025-10-10,5,12,-0.003170303557697309,-0.043402250470844644,-0.05731859950273521
2025-10-17,1,12,-0.23645842544808815,-0.01799328667041376,-0.057152152254531796
2025-10-17,2,12,-0.1493937805231728,-0.007479850824297261,-0.008970060557832837
2025-10-17,3,12,-0.09228958333511823,0.02129542997469877,0.0021439957785591712
2025-10-17,4,12,-0.054015531152868716,-0.0031877209551596044,0.0012703396644255793
2025-10-17,5,12,-0.024380655686764858,-0.010933796513003025,-0.009518487216035543
2025-10-24,1,12,-0.22646619214386296,0.07429863269177829,0.07472493289913196
2025-10-24,2,12,-0.14426869827999297,0.09371835276319629,0.08900240726928343
2025-10-24,3,12,-0.08408045214584754,0.03494249843992079,0.01974550038991929
2025-10-24,4,12,-0.040476310883850786,0.03415397918726018,0.03122196204113048
2025-10-24,5,12,-0.0024448421393116946,0.008566633766022977,0.008012517896495375
2025-10-31,1,12,-0.2481478452679576,-0.03468646414053033,-0.04046353758576837
2025-10-31,2,12,-0.1617688808796632,-0.008427945140564533,-0.03992272167017352
2025-10-31,3,12,-0.07572613409997,0.011764652291168742,-0.00420931859226481
2025-10-31,4,12,-0.043692242259622545,0.0006698391015258672,-0.013151604118161297
2025-10-31,5,12,-0.0006566347867509129,0.007957178752554759,0.002388887481307167
2025-11-07,1,12,-0.24227739586529573,-0.0405982276122592,-0.03777934235417496
2025-11-07,2,12,-0.1351349075088618,-0.030024381188234046,-0.04389030233288682
2025-11-07,3,12,-0.09213262587202746,0.0010099952130227796,0.0011330380716976785
2025-11-07,4,12,-0.04725535177350262,0.00020817447104090614,0.0020870051357855246
2025-11-07,5,12,-0.0005523973849300331,0.009570978785028309,0.0009207403687756521
2025-11-14,1,12,-0.18379859654315167,-0.05813444109562695,-0.06316934042714883
2025-11-14,2,12,-0.10615693454567887,-0.03386421164696013,-0.047816058861072874
2025-11-14,3,12,-0.061669139083437935,-0.03419731619600922,-0.041906056706380534
2025-11-14,4,12,-0.029483777071858758,-0.0261882844948939,-0.02468292285759477
2025-11-14,5,12,0.0070035452293871385,-0.026030914328055637,-0.02154605918196667
2025-11-21,1,12,-0.17032926735208154,-0.0012747853726852072,0.007864802751118227
2025-11-21,2,12,-0.08991540033962908,-0.00844573927500549,-0.008511545899215156
2025-11-21,3,12,-0.05576516849332031,0.005389230730386996,0.006791625319048644
2025-11-21,4,12,-0.03056964163115559,0.011780253829157816,0.006228165580653089
2025-11-21,5,12,0.01330759872795075,-0.012847143294412259,-0.01476066230547346
2025-11-28,1,12,-0.14686099791458648,0.026390975105657726,0.015536236955795202
2025-11-28,2,12,-0.08280519736529328,0.041104148841317106,0.01117232762126008
2025-11-28,3,12,-0.03567270746352289,0.014691601096851211,0.016037673365970173
2025-11-28,4,12,-0.012639818297795128,0.025612905633447165,0.024584653464809647
2025-11-28,5,12,0.028368875952146638,0.002240907232738685,0.010040299220923976
2025-12-05,1,12,-0.13904768416867883,0.04031440771040618,0.007921513183044238
2025-12-05,2,12,-0.0727032550267226,0.031900830985814255,0.017772868570931744
2025-12-05,3,12,-0.04369527907332226,0.01816770734544142,0.0035214140940371674
2025-12-05,4,12,-0.015799217204425897,-0.008330395425438702,-0.012699098469719505
2025-12-05,5,12,0.01532610380223437,-0.0048729609962939,-0.004520496685203601
2025-12-12,1,12,-0.1533867766941803,-0.01612006701155096,-0.028219107576837044
2025-12-12,2,12,-0.07560020583207343,0.004233231812934696,-0.0040442617404201076
2025-12-12,3,12,-0.035875040064585105,-0.005852496594059166,-0.016111233723239915
2025-12-12,4,12,-0.010086755331348313,0.018505836082478373,0.006615734259316386
2025-12-12,5,12,0.028166487412246293,0.0057349274334815015,0.008510858142485422
2025-12-19,1,12,-0.13263895467574413,0.045857470448918115,0.038409558911051134
2025-12-19,2,12,-0.07654550666606753,0.07499727037859782,0.043844397611520924
2025-12-19,3,12,-0.04507758172892685,0.03337079223626052,0.03175996552862215
2025-12-19,4,12,-0.021269676706334662,0.03111888215866172,0.03294161836641141
2025-12-19,5,12,0.033861720061398114,0.024450451382041993,0.026452190076602267
2025-12-26,1,12,-0.16476357131040376,0.07037799887054892,0.023524043425480756
2025-12-26,2,12,-0.07810422672302328,0.028753827061546926,0.010059799506997424
2025-12-26,3,12,-0.03643180069440793,0.023791907481154517,0.01769043921096869
2025-12-26,4,12,-0.0189677229849524,0.04591502546269185,0.04572955695005587
2025-12-26,5,12,0.009345484196788156,0.021232611655507206,0.022114922147083105
