date,K,n_pool,hit_long,hit_short,hit_ls,pred_top_mean_real_ret,real_top_mean_real_ret,pool_mean_real_ret
2025-06-06,3,60,0.0,0.3333333333333333,0.16666666666666666,0.020716943882508183,0.18239630786646618,0.02432593741488089
2025-06-06,5,60,0.0,0.2,0.1,0.02891271616817246,0.16790342695969152,0.02432593741488089
2025-06-06,10,60,0.1,0.2,0.15,0.011937248276394086,0.11948283521547802,0.02432593741488089
2025-06-06,20,60,0.25,0.4,0.325,0.014604686573027275,0.07936828469810653,0.02432593741488089
2025-06-13,3,60,0.0,0.0,0.0,0.06669254205818682,0.4525897388670959,0.03324366910033687
2025-06-13,5,60,0.0,0.4,0.2,0.039093965364872085,0.33513119245312173,0.03324366910033687
2025-06-13,10,60,0.1,0.4,0.25,0.02841291002586773,0.22643279780064188,0.03324366910033687
2025-06-13,20,60,0.35,0.35,0.35,0.01901753256006892,0.14183162425145865,0.03324366910033687
2025-06-20,3,60,0.0,0.3333333333333333,0.16666666666666666,0.01309056623545283,0.13073151974889052,0.0067938951674371825
2025-06-20,5,60,0.0,0.4,0.2,0.006021875810948263,0.11222869867733332,0.0067938951674371825
2025-06-20,10,60,0.0,0.3,0.15,0.012140928774980141,0.08038075675138764,0.0067938951674371825
2025-06-20,20,60,0.45,0.45,0.45,0.030028241044208946,0.05729607346466816,0.0067938951674371825
2025-06-27,3,60,0.0,0.3333333333333333,0.16666666666666666,0.03163799299730652,0.15949990650144255,0.032736660199413
2025-06-27,5,60,0.0,0.2,0.1,0.017613364761871343,0.1397905307565769,0.032736660199413
2025-06-27,10,60,0.1,0.3,0.2,0.02139735218061841,0.1143293247489352,0.032736660199413
2025-06-27,20,60,0.2,0.35,0.275,0.025623661851838807,0.08710214332442462,0.032736660199413
2025-07-04,3,60,0.0,0.0,0.0,0.011114694283162621,0.13811576563108105,0.007807919586044184
2025-07-04,5,60,0.0,0.0,0.0,0.004598425793574256,0.121749515425988,0.007807919586044184
2025-07-04,10,60,0.0,0.2,0.1,-0.0032252613358604186,0.09680916386571665,0.007807919586044184
2025-07-04,20,60,0.2,0.35,0.275,-0.003619232110112619,0.06259458227091022,0.007807919586044184
2025-07-11,3,60,0.0,0.3333333333333333,0.16666666666666666,0.027690965023629294,0.2583564036892798,0.03779933198780611
2025-07-11,5,60,0.0,0.4,0.2,0.02131687591644087,0.21400297715300667,0.03779933198780611
2025-07-11,10,60,0.0,0.3,0.15,0.011072530609169028,0.16176614155097868,0.03779933198780611
2025-07-11,20,60,0.1,0.3,0.2,0.0055793620326827775,0.11861810920075962,0.03779933198780611
2025-07-18,3,60,0.0,0.3333333333333333,0.16666666666666666,0.029071225071224987,0.20947198458850402,0.029329831479875224
2025-07-18,5,60,0.2,0.6,0.4,0.05807297213716063,0.17849802822900496,0.029329831479875224
2025-07-18,10,60,0.3,0.6,0.45,0.052725514594448006,0.13132099769637923,0.029329831479875224
2025-07-18,20,60,0.4,0.6,0.5,0.03369248272415351,0.09469786651505643,0.029329831479875224
2025-07-25,3,60,0.0,0.0,0.0,-0.03892156779197575,0.21012787236324618,0.0034108490086950122
2025-07-25,5,60,0.0,0.0,0.0,-0.03374647119737082,0.17351330642305557,0.0034108490086950122
2025-07-25,10,60,0.0,0.1,0.05,-0.0238364391178424,0.13094459847673318,0.0034108490086950122
2025-07-25,20,60,0.3,0.35,0.325,-0.008998943616498395,0.07946213933128092,0.0034108490086950122
2025-08-01,3,60,0.0,0.6666666666666666,0.3333333333333333,0.010658654825549877,0.1426296763996485,0.015046743079261456
2025-08-01,5,60,0.0,0.6,0.3,0.00509039887685756,0.11776569583818888,0.015046743079261456
2025-08-01,10,60,0.1,0.7,0.4,0.019887039439016586,0.09229656756205748,0.015046743079261456
2025-08-01,20,60,0.3,0.55,0.425,0.01900774329504328,0.06397393075957183,0.015046743079261456
2025-08-08,3,60,0.0,0.0,0.0,0.01475229660122268,0.20377097242366146,0.03091919192564981
2025-08-08,5,60,0.0,0.0,0.0,0.022456444394708952,0.18070374970787326,0.03091919192564981
2025-08-08,10,60,0.2,0.0,0.1,0.02969614731179937,0.13837687697559872,0.03091919192564981
2025-08-08,20,60,0.25,0.3,0.275,0.021595119397859314,0.09590710751236584,0.03091919192564981
2025-08-15,3,60,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0762000705888876,0.177610359933297,0.04627250028072416
2025-08-15,5,60,0.2,0.4,0.3,0.05130930252398138,0.16887710210797616,0.04627250028072416
2025-08-15,10,60,0.1,0.4,0.25,0.033298012176883815,0.14117630081002513,0.04627250028072416
2025-08-15,20,60,0.2,0.55,0.375,0.03957707660896649,0.10992358051921322,0.04627250028072416
2025-08-22,3,60,0.0,0.0,0.0,0.03169894978519627,0.4112315443054136,0.07793392902455962
