date,session,N,A_no_filter,B_drop_1,C_drop_2,D_drop_3,E_keep_top,most_bearish,most_bearish_pred,most_bearish_real,most_bullish,most_bullish_pred,most_bullish_real
2026-04-15,MORNING_BUY,3,0.06354983961870257,,,0.07941432925716396,0.08293477154777662,603538,-0.36126660335007776,0.03182086034177978,603256,-0.25916391489457113,0.08293477154777662
2026-04-19,MORNING_BUY,5,0.0059637184065322035,-0.03237136383783673,-0.05807740541550591,-0.06279610812325886,-0.05807740541550591,002384,-0.409221011425962,0.15930404738400794,603083,-0.11993345609427697,-0.03776539111918331
2026-04-20,MORNING_BUY,5,0.0239497386131863,0.02768762317650092,-0.025661365336097013,0.027449980981361755,-0.025661365336097013,002491,-0.40951000000000004,0.008998200359927822,002843,-0.17176555445400454,-0.02836363636363637
2026-04-21,EVENING_BUY,4,-0.08684157635881853,-0.08101890626792925,,-0.04302621638362175,-0.04302621638362175,300139,-0.20467259282067674,-0.10430958663148637,600938,-0.03273640324697957,0.06223290598290587
2026-04-21,MORNING_BUY,5,-0.02957396204912117,-0.009808058082327542,0.006384799525468221,-0.005613443275978125,0.006384799525468221,002361,-0.40950999999999993,-0.10863757791629569,002709,-0.11803959392097751,0.02743379691369774
2026-04-22,MORNING_BUY,5,-0.0007897127342441745,0.032130791230821604,-0.0012479719406850072,0.028286356886826847,-0.0012479719406850072,300502,-0.31588615996042846,-0.1324717285945073,600522,-0.14473828787280363,0.07559926244622006
2026-04-23,EVENING_BUY,5,0.023478642440330953,0.031482697289001216,0.050084085164561865,0.032546290552102675,0.050084085164561865,603083,-0.22627358088192595,-0.00853757695435009,688126,-0.015603206651747858,0.008529854490717526
2026-04-23,MORNING_BUY,5,0.09777353357219043,0.09411360162213853,0.1481605391243026,0.20469066541997827,0.1481605391243026,002281,-0.38183381230109814,0.11241326137239804,600736,-0.10335377857343597,0.0035842293906811484
2026-04-24,EVENING_BUY,5,0.03528575662865676,0.04546925621177439,0.009395155239562062,-0.022608995164699053,0.009395155239562062,688205,-0.18879312002286863,-0.00544824170381375,002130,0.046117309414212215,-0.010656436487638588
2026-04-25,MORNING_BUY,5,0.008059925283016555,0.04330197869793451,-0.003810869361359659,-0.06215720709648842,-0.003810869361359659,603016,-0.22631866434046022,-0.13290828837665525,603365,-0.07071587293361947,-0.11244497799119646
2026-04-27,MORNING_BUY,5,0.009379389149814111,0.023201417101593874,0.04002318125717219,0.023947082172436185,0.04002318125717219,003036,-0.40951000000000004,-0.045908722657304946,600637,-0.014139610220958332,-0.03477443609022568
2026-04-28,EVENING_BUY,3,0.13796029697949752,,,0.15650248926486676,0.14613213524566548,002281,-0.3823667094655281,0.10087591240875904,688008,-0.13756701265425864,0.14613213524566548
2026-04-29,EVENING_BUY,5,0.11194486765147023,0.12957830301752638,0.12773958628171625,0.12790727714137562,0.12773958628171625,002384,-0.3976858748250933,0.04141112618724563,688041,-0.05241782418940166,0.23546292642680333
2026-04-29,MORNING_BUY,5,0.004715115169833561,0.004868042505582926,0.003927236999352897,0.005890855499029346,0.003927236999352897,300632,-0.2446153489400037,0.004103405826836104,002520,0.05385954483695654,0.006722689075630228
2026-05-01,MORNING_BUY,5,0.015320949224389202,0.004500459854443389,0.020044545440302135,0.004788326300984469,0.020044545440302135,603399,-0.3198524620681771,0.05860290670417245,688699,-0.10906014536211217,0.06899999999999995
2026-05-02,EVENING_BUY,5,0.10140841975693707,0.09208835946190463,0.08411353267760997,0.0995693137947401,0.08411353267760997,002281,-0.34970109060196,0.13868866093706678,002130,0.09318428276068769,0.04605845881310899
2026-05-05,EVENING_BUY,5,0.09046584175454572,0.09978180958234473,0.0943714661715301,0.06501711486910955,0.0943714661715301,002938,-0.20262180357898818,0.05320197044334973,002130,0.09560158107004102,0.04605845881310899
2026-05-06,EVENING_BUY,5,0.08110950655839706,0.06377222820529255,0.08137120724789175,0.06726966850713578,0.08137120724789175,002384,-0.3766199381917572,0.1504586199708151,002130,0.08643523170638834,0.01852649719948296
2026-05-07,EVENING_BUY,5,0.06674519517970105,0.0398237952568499,0.007082133513198197,-0.0033896448382184086,0.007082133513198197,688048,-0.24261731704855882,0.1744307948711057,002130,0.049842559917814944,-0.03979678238780704
2026-05-09,EVENING_BUY,5,0.007253955088462227,-0.03576776800987447,-0.04227030314595729,-0.03205492267241272,-0.04227030314595729,688008,-0.2675367576667572,0.179340847481809,002130,0.04227473245127178,-0.04654141759180197
2026-05-10,EVENING_BUY,5,-0.009441618695311727,0.011880915248550034,0.021261274531942043,-0.045012503534449855,0.021261274531942043,300390,-0.2835976410280857,-0.09473175447075877,300458,-0.03179265817746124,-0.010402408978921529
2026-05-10,MORNING_BUY,5,0.024515132150886743,-0.006631342465796108,0.03424069215247753,0.02461206703530061,0.03424069215247753,688017,-0.234403537845427,0.14910103061761815,603662,0.05004271115288317,0.03676113360323874
2026-05-11,EVENING_BUY,5,-0.0185440732684272,-0.026499343245159818,0.010032433858524556,-0.045820914429604453,0.010032433858524556,002436,-0.2948464765991874,0.013277006638503286,600905,0.012589725164266596,-0.012019230769230727
2026-05-11,MORNING_BUY,4,0.008383397649445484,-0.055587935723911554,,-0.018758180425558824,-0.018758180425558824,688017,-0.26440417940910765,0.2002973977695166,603728,0.0019885550656797424,0.05118973074514721
2026-05-12,EVENING_BUY,5,0.024617199838395255,0.015151592564698363,0.011325236561821902,-0.033428510110199816,0.011325236561821902,688766,-0.3664820098499436,0.06247962893318282,600905,-0.00361959882777374,-0.007194244604316613
2026-05-13,EVENING_BUY,5,-0.03850144004288401,-0.053959859534380566,-0.04989719273844776,-0.04394915861081272,-0.04989719273844776,002156,-0.17724731658045034,0.02333223792310224,600276,0.021683004277559093,-0.08789831722162544
2026-05-14,EVENING_BUY,5,0.09376276038650522,0.14671663506731003,0.17879242693899303,0.13611316871037638,0.17879242693899303,002491,-0.40950999999999993,-0.11805273833671404,600522,-0.14637740598906068,0.041513761467889765
2026-05-14,MORNING_BUY,4,0.031552072239561774,0.06929595911983617,,0.03541399675613843,0.03541399675613843,688766,-0.4095099999999998,-0.08167958840126144,688235,0.021165828681918297,0.009010452124464274
2026-05-15,EVENING_BUY,5,0.045908868161262315,0.06632651921397822,0.003278884648209801,-0.05754194003340679,0.003278884648209801,002428,-0.4095099999999998,-0.03576173604960131,600276,0.05223175067977648,-0.06519725875162075
2026-05-18,EVENING_BUY,5,0.008595579820884347,0.0012698839061656975,0.029826667094134802,-0.008308432407230781,0.029826667094134802,300831,-0.24165165496221597,0.037898363479758945,600276,0.07268677682214464,-0.0572191493419798
2026-05-18,MORNING_BUY,3,0.16742923270619067,,,0.21089617104071023,0.013076826354834648,688017,-0.3193869972318917,0.08049535603715152,688235,0.050757085997922724,0.013076826354834648
2026-05-19,EVENING_BUY,5,0.03897577762896567,0.06919249535828392,0.10617246629651007,0.023368641893663722,0.10617246629651007,002491,-0.40951000000000004,-0.08189109328830735,600276,0.07626338658187626,-0.0463268075208374
2026-05-20,EVENING_BUY,5,0.025343239748653955,0.04038858599377901,0.056590948290372665,0.003908879502930174,0.056590948290372665,301308,-0.3176269694875302,-0.03483814523184625,600276,0.07409235259235447,-0.007348581502945928
2026-05-21,EVENING_BUY,4,-0.01229391892239376,0.002384227506460094,,-0.05119931034044184,-0.05119931034044184,688017,-0.38490089647391723,-0.05632835820895532,603662,-0.029917699896700678,-0.054731533669534316
2026-05-22,EVENING_BUY,5,-0.008457006254010557,-0.015032504535397034,-0.0005465780452030092,0.026554780082313212,-0.0005465780452030092,688072,-0.36267797316241945,0.01784498687153535,600276,0.09954535553898314,-0.001488902597101549
2026-05-26,EVENING_BUY,5,-0.040076691814117146,-0.08757555347028906,-0.06601583274532163,-0.03818037562400661,-0.06601583274532163,300408,-0.3957191988612979,0.1499187548105705,688165,-0.05020990104318768,-0.13551401869158874
2026-05-26,MORNING_BUY,3,-0.07100577068340615,,,-0.007855457371910568,-0.02177803708465509,688072,-0.40950999999999993,-0.19730639730639732,002916,-0.3568524967284201,-0.02177803708465509
2026-05-27,EVENING_BUY,5,0.0921183188741482,0.0909589401407786,0.18398360830276916,0.2907893405714296,0.18398360830276916,300408,-0.4095099999999998,0.09675583380762665,603267,-0.05955174791389173,0.2152638867518082
2026-05-28,EVENING_BUY,5,0.007450925243361728,-0.0037814914285394796,-0.0029370031020588736,0.09719044707910324,-0.0029370031020588736,300408,-0.4095099999999998,0.05238059193096656,300475,-0.09141407415049396,-0.016170212765957426
2026-05-29,EVENING_BUY,3,0.08644179082097973,,,0.051950076260795064,0.1577219526120468,002585,-0.20737358831590225,0.15542521994134906,603267,-0.14046921050790173,0.1577219526120468
2026-05-29,MORNING_BUY,4,0.019402627751099938,-0.010203009192866541,,-0.05462451378929983,-0.05462451378929983,688630,-0.40950999999999993,0.10821953858299938,002121,0.012297298597252926,-0.16183574879227047
2026-06-02,EVENING_BUY,3,0.014051111697875021,,,-0.004527890997922002,0.08734402852049894,600183,-0.36293039313236464,0.05120911708946907,002585,-0.27319137382847314,0.08734402852049894
2026-06-03,EVENING_BUY,3,0.025543616443541046,,,0.07020894550910867,-0.1102810838186884,002436,-0.3180178685861278,-0.06378704168759419,603267,-0.23204797284456413,-0.1102810838186884
2026-06-04,EVENING_BUY,4,-0.08798254972232694,-0.12150954136205276,,-0.12132681204307916,-0.12132681204307916,000636,-0.40951000000000004,0.012598425196850505,002436,-0.3014236461395794,-0.10080743821874227
2026-06-05,EVENING_BUY,4,-0.07395985759488949,-0.0780193092488709,,-0.04914004089079632,-0.04914004089079632,300408,-0.3907221398752856,-0.06178150263294524,300394,-0.31234127593720373,-0.13785791819320214
2026-06-07,EVENING_BUY,4,0.004457609271474455,-0.00724913310857056,,0.02001705165361678,0.02001705165361678,688630,-0.3944545131874587,0.0395778364116095,603256,-0.22736784279206623,0.0603386718351524
2026-06-08,EVENING_BUY,3,0.02573246968441667,,,-0.022464035550199546,-0.16844919786096246,688630,-0.4095099999999998,0.1221254801536491,603267,-0.16563034057617188,-0.16844919786096246
2026-06-09,EVENING_BUY,4,0.03985903324388598,0.031399053260084187,,0.043305983943109416,0.043305983943109416,300408,-0.40950999999999993,0.06523897319529137,002156,-0.18071155349752765,-0.023281080242123386
2026-06-11,EVENING_BUY,3,0.2734641941986891,,,0.354324356693129,0.27387307236061686,688017,-0.36963680941496,0.11174386920980939,600549,-0.19468754126932275,0.27387307236061686
2026-06-15,EVENING_BUY,3,0.2533329805147771,,,0.3541990620528197,0.14599686028257453,300666,-0.40950999999999993,0.05160081743869194,002585,-0.28267627159130626,0.14599686028257453
2026-06-16,EVENING_BUY,3,-0.02868757051234509,,,-0.031716646646659186,-0.08736327000575717,300666,-0.38919420099645163,-0.022629418243716892,688183,-0.2325042676294269,-0.08736327000575717
2026-06-17,EVENING_BUY,4,0.038569372306592464,0.04869567311734846,,0.10198025261007382,0.10198025261007382,300666,-0.40950999999999993,0.00819046987432448,603986,-0.3491695525646047,0.20314313016176389
2026-06-18,MORNING_BUY,3,-0.010524268405789128,,,-0.024232348554629635,-0.14072252695290333,688256,-0.23999962452361923,0.016891891891891886,600362,-0.11288435584835466,-0.14072252695290333
2026-06-19,EVENING_BUY,4,0.02465041905903889,0.010436483678361067,,-0.01455093000945068,-0.01455093000945068,000636,-0.40950999999999993,0.06729222520107236,601958,-0.13098579709710623,-0.02851985559566783
