date,n,ic,rank_ic,da,up_cap,dn_cap
2025-06-06,60,-0.05940516841304712,0.03640102261928847,0.4318181818181818,0.8,0.35555555555555557
2025-06-13,60,-0.06407942987671406,-0.010669630452903587,0.5094339622641509,0.5,0.5208333333333334
2025-06-20,60,0.3126638083420283,0.12431230897471522,0.4186046511627907,0.7857142857142857,0.2826086956521739
2025-06-27,60,-0.4018030787780905,-0.23378716310086142,0.3673469387755102,0.7857142857142857,0.2608695652173913
2025-07-04,60,-0.1729696186654351,-0.10347318699638791,0.5454545454545454,0.26666666666666666,0.4888888888888889
2025-07-11,60,-0.4769999535420674,-0.34326201722700755,0.28888888888888886,0.25,0.3076923076923077
2025-07-18,60,0.3646096089005139,0.5460961378160601,0.3541666666666667,1.0,0.36363636363636365
2025-07-25,60,-0.4115525404413982,-0.21450402889691586,0.5576923076923077,0.0,0.6078431372549019
2025-08-01,60,0.3851053114044869,0.2782439566546263,0.5714285714285714,0.8,0.45
2025-08-08,60,-0.22105707210540268,-0.13498193942761882,0.40384615384615385,0.6666666666666666,0.35294117647058826
2025-08-15,60,0.15306050170274374,0.21011392053348155,0.3584905660377358,0.9230769230769231,0.23404255319148937
2025-08-22,60,-0.3816221856399291,-0.32314531814392894,0.2,1.0,0.23214285714285715
2025-08-29,60,0.17517089149225243,0.1897193664906919,0.6363636363636364,0.36363636363636365,0.673469387755102
2025-09-05,60,-0.35429412519976494,-0.29897193664906924,0.125,1.0,0.08928571428571429
2025-09-12,60,0.046929656034886136,0.010002778549597111,0.5,0.3333333333333333,0.48148148148148145
2025-09-19,60,-0.1466018664839715,-0.152820227841067,0.34782608695652173,0.3333333333333333,0.3684210526315789
2025-09-26,60,0.3090342061914321,0.4893581550430676,0.5094339622641509,1.0,0.4482758620689655
2025-10-03,60,0.10379382906820013,0.16582383995554323,0.6271186440677966,0.0,0.6551724137931034
2025-10-10,60,0.23467140471674056,0.24240066685190337,0.7407407407407407,0.2,0.7454545454545455
2025-10-17,60,0.24735828242486313,0.2955265351486525,0.5882352941176471,0.5,0.5344827586206896
2025-10-24,60,-0.36443719538591046,-0.4101139205334816,0.23076923076923078,0.5,0.2413793103448276
2025-10-31,60,0.13433386946653403,0.3210336204501251,0.625,0.6666666666666666,0.6851851851851852
2025-11-07,60,0.2129751358028785,0.22078355098638516,0.5714285714285714,0.4,0.5454545454545454
2025-11-14,60,0.20551034332673598,0.2556821339260907,0.7777777777777778,0.1111111111111111,0.8235294117647058
2025-11-21,60,-0.013900978064060574,-0.09674909697138095,0.52,0.5,0.5370370370370371
2025-11-28,60,-0.09965150623938296,0.013448180050013895,0.42,0.6363636363636364,0.3673469387755102
2025-12-05,60,-0.4492203328205267,-0.28891358710752996,0.3333333333333333,0.25,0.4423076923076923
2025-12-12,60,0.10805581534920229,0.170880800222284,0.627906976744186,0.6363636363636364,0.5714285714285714
2025-12-19,60,-0.4586897265123554,-0.2652403445401501,0.1702127659574468,0.875,0.11538461538461539
2025-12-26,60,-0.40335873873328515,-0.012114476243400946,0.30612244897959184,0.6,0.2727272727272727
2026-01-02,60,0.1207749243241325,0.12820227841066964,0.34545454545454546,0.9,0.24
2026-01-09,60,-0.1854129010753541,-0.2268963601000278,0.28,0.5,0.25
2026-01-16,60,0.08422752113981764,-0.010058349541539318,0.46296296296296297,0.5,0.44642857142857145
2026-01-23,60,-0.285207186198942,-0.12292303417616009,0.5384615384615384,0.0,0.5892857142857143
2026-01-30,60,0.39942033715700326,0.36332314531814397,0.68,0.3,0.7
2026-02-06,60,0.21544311378855246,0.05629341483745487,0.32075471698113206,0.7,0.28
2026-02-13,60,-0.3156841442864805,-0.2965268130036121,0.3090909090909091,0.25,0.375
2026-02-20,60,-0.4731610097522726,-0.40894692970269525,0.26785714285714285,0.5,0.2692307692307692
2026-02-27,60,-0.5846111317914716,-0.23317588218949714,0.5185185185185185,0.1,0.6
2026-03-06,60,0.5640949971551148,0.6088357877188109,0.7777777777777778,0.8571428571428571,0.7358490566037735
