date,K,n_pool,hit_long,hit_short,hit_ls,pred_top_mean_real_ret,real_top_mean_real_ret,pool_mean_real_ret
2025-06-06,3,60,0.0,0.3333333333333333,0.16666666666666666,0.004350821359075718,0.18239630786646618,0.02432593741488089
2025-06-06,5,60,0.0,0.2,0.1,0.017233579422069666,0.16790342695969152,0.02432593741488089
2025-06-06,10,60,0.1,0.1,0.1,0.026097095928721926,0.11948283521547802,0.02432593741488089
2025-06-06,20,60,0.35,0.45,0.4,0.031573644343570934,0.07936828469810653,0.02432593741488089
2025-06-13,3,60,0.0,0.0,0.0,-0.006094103263358501,0.4525897388670959,0.03324366910033687
2025-06-13,5,60,0.0,0.2,0.1,0.0018412635134470224,0.33513119245312173,0.03324366910033687
2025-06-13,10,60,0.0,0.3,0.15,0.01040691890853418,0.22643279780064188,0.03324366910033687
2025-06-13,20,60,0.35,0.45,0.4,0.014695378790962794,0.14183162425145865,0.03324366910033687
2025-06-20,3,60,0.0,0.3333333333333333,0.16666666666666666,0.007876962469339,0.13073151974889052,0.0067938951674371825
2025-06-20,5,60,0.0,0.4,0.2,0.0077799536482287875,0.11222869867733332,0.0067938951674371825
2025-06-20,10,60,0.3,0.4,0.35,0.022869855842083953,0.08038075675138764,0.0067938951674371825
2025-06-20,20,60,0.3,0.4,0.35,0.020638047029321406,0.05729607346466816,0.0067938951674371825
2025-06-27,3,60,0.0,0.0,0.0,0.04636256279911555,0.15949990650144255,0.032736660199413
2025-06-27,5,60,0.0,0.0,0.0,0.041571821158876386,0.1397905307565769,0.032736660199413
2025-06-27,10,60,0.1,0.1,0.1,0.02295213612742203,0.1143293247489352,0.032736660199413
2025-06-27,20,60,0.2,0.35,0.275,0.022985787173123995,0.08710214332442462,0.032736660199413
2025-07-04,3,60,0.0,0.0,0.0,0.043216926905902696,0.13811576563108105,0.007807919586044184
2025-07-04,5,60,0.0,0.0,0.0,0.029185597945721196,0.121749515425988,0.007807919586044184
2025-07-04,10,60,0.1,0.1,0.1,0.009532369766720904,0.09680916386571665,0.007807919586044184
2025-07-04,20,60,0.25,0.25,0.25,0.0030111515737521856,0.06259458227091022,0.007807919586044184
2025-07-11,3,60,0.0,0.3333333333333333,0.16666666666666666,-0.00834761363935447,0.2583564036892798,0.03779933198780611
2025-07-11,5,60,0.0,0.2,0.1,-0.0063604553274292375,0.21400297715300667,0.03779933198780611
2025-07-11,10,60,0.0,0.1,0.05,-0.0038207765084499303,0.16176614155097868,0.03779933198780611
2025-07-11,20,60,0.1,0.3,0.2,0.008484913975601045,0.11861810920075962,0.03779933198780611
2025-07-18,3,60,0.0,0.0,0.0,0.06491609337545053,0.20947198458850402,0.029329831479875224
2025-07-18,5,60,0.2,0.4,0.3,0.05828385605145425,0.17849802822900496,0.029329831479875224
2025-07-18,10,60,0.4,0.5,0.45,0.06740353307771205,0.13132099769637923,0.029329831479875224
2025-07-18,20,60,0.6,0.55,0.575,0.05853994221748894,0.09469786651505643,0.029329831479875224
2025-07-25,3,60,0.0,0.0,0.0,-0.03899208138061742,0.21012787236324618,0.0034108490086950122
2025-07-25,5,60,0.0,0.0,0.0,-0.03230313866744376,0.17351330642305557,0.0034108490086950122
2025-07-25,10,60,0.0,0.1,0.05,-0.02901079299399988,0.13094459847673318,0.0034108490086950122
2025-07-25,20,60,0.25,0.3,0.275,-0.012501229429261813,0.07946213933128092,0.0034108490086950122
2025-08-01,3,60,0.0,0.3333333333333333,0.16666666666666666,0.023931709889869406,0.1426296763996485,0.015046743079261456
2025-08-01,5,60,0.2,0.6,0.4,0.0166107838456518,0.11776569583818888,0.015046743079261456
2025-08-01,10,60,0.3,0.7,0.5,0.02780195585515415,0.09229656756205748,0.015046743079261456
2025-08-01,20,60,0.25,0.5,0.375,0.019871223046548765,0.06397393075957183,0.015046743079261456
2025-08-08,3,60,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08642822591565269,0.20377097242366146,0.03091919192564981
2025-08-08,5,60,0.2,0.2,0.2,0.06292308476411897,0.18070374970787326,0.03091919192564981
2025-08-08,10,60,0.2,0.1,0.15,0.036655288247287934,0.13837687697559872,0.03091919192564981
2025-08-08,20,60,0.3,0.2,0.25,0.026428468773219325,0.09590710751236584,0.03091919192564981
2025-08-15,3,60,0.0,0.0,0.0,0.038556963476117,0.177610359933297,0.04627250028072416
2025-08-15,5,60,0.2,0.4,0.3,0.06211790107582922,0.16887710210797616,0.04627250028072416
2025-08-15,10,60,0.2,0.4,0.3,0.050498797640674976,0.14117630081002513,0.04627250028072416
2025-08-15,20,60,0.35,0.55,0.45,0.0549247588123861,0.10992358051921322,0.04627250028072416
2025-08-22,3,60,0.0,0.0,0.0,0.043089477843105385,0.4112315443054136,0.07793392902455962
2025-08-22,5,60,0.0,0.2,0.1,0.03349558319797312,0.3726067163375518,0.07793392902455962
2025-08-22,10,60,0.0,0.2,0.1,0.03182483311568254,0.28822262060213377,0.07793392902455962
2025-08-22,20,60,0.2,0.1,0.15,0.04653403655547956,0.20357619469315452,0.07793392902455962
2025-08-29,3,60,0.0,0.0,0.0,-0.03976101113421119,0.18894164517752668,-0.020484567476935722
2025-08-29,5,60,0.0,0.2,0.1,-0.04535303706106726,0.1624400302116927,-0.020484567476935722
2025-08-29,10,60,0.0,0.3,0.15,-0.03625797847945326,0.12131027906432493,-0.020484567476935722
2025-08-29,20,60,0.35,0.55,0.45,-0.027970102761316507,0.07454651010167931,-0.020484567476935722
2025-09-05,3,60,0.0,0.0,0.0,0.05058751725486984,0.33053150118244495,0.08570907763121148
2025-09-05,5,60,0.0,0.0,0.0,0.04666534850410446,0.28067646626067105,0.08570907763121148
2025-09-05,10,60,0.0,0.2,0.1,0.04188381886436247,0.2333138302208937,0.08570907763121148
2025-09-05,20,60,0.25,0.3,0.275,0.06507712892816243,0.18427093999698654,0.08570907763121148
2025-09-12,3,60,0.0,0.0,0.0,0.0028458154161438896,0.18926443994826295,0.009017111779866475
2025-09-12,5,60,0.2,0.4,0.3,0.020815841374797906,0.1494397129362816,0.009017111779866475
