date,quintile,n,mean_pred_ret,mean_real_ret,median_real_ret
2025-06-06,1,12,-0.11224307088045304,0.045047509478789584,0.037473168237486365
2025-06-06,2,12,-0.05199494569259134,0.01155810318919225,0.0039943331628035095
2025-06-06,3,12,-0.023828634089801598,0.01170213656134562,0.010161911937685342
2025-06-06,4,12,-0.005940681843914802,0.025222499239920548,0.019826944459272466
2025-06-06,5,12,0.03288840572874716,0.028099438605156447,0.026627028246402618
2025-06-13,1,12,-0.12737972822268895,0.028279785718221272,0.013948698149867877
2025-06-13,2,12,-0.06203356723046918,0.01853606920988493,-0.005635606342790922
2025-06-13,3,12,-0.03754047644535383,0.09665543885322488,0.0009254409673695174
2025-06-13,4,12,-0.015174602951055882,0.004683279427293741,-0.003797776371070205
2025-06-13,5,12,0.02447094241274265,0.018063772293059516,-0.0023038996751000296
2025-06-20,1,12,-0.16751062907046563,-0.03130363375643793,0.013134449813099858
2025-06-20,2,12,-0.058421144862370315,0.008611803139145354,0.00878359023936126
2025-06-20,3,12,-0.03506455551143604,0.02312752270174907,0.01860258725908448
2025-06-20,4,12,-0.012232839802323167,0.012977160450709744,0.01131933176979616
2025-06-20,5,12,0.03983503763924188,0.020556623302019673,0.009408625465381348
2025-06-27,1,12,-0.1306988787217923,0.0765569157843305,0.08723000617044696
2025-06-27,2,12,-0.06059658549833049,0.021401808370409087,0.024559408825462148
2025-06-27,3,12,-0.029824239760926408,0.020160506946336466,0.013617834663963158
2025-06-27,4,12,-0.00653961669058097,0.022206841555681867,0.02233263527793461
2025-06-27,5,12,0.028079676101933442,0.02335722834030708,0.024827342516766215
2025-07-04,1,12,-0.17486946847149878,0.023638464260677866,0.028291265355916084
2025-07-04,2,12,-0.0631094444028694,0.007618041865879388,-0.013807395090139563
2025-07-04,3,12,-0.035069265094365504,0.0035912040437442914,-0.019853156703044217
2025-07-04,4,12,-0.00898070936571547,-0.00473459113518863,-0.002305449503295476
2025-07-04,5,12,0.02170381998200212,0.008926478895108003,-0.002077766436297368
2025-07-11,1,12,-0.17500599399512418,0.10146013090513441,0.09767347673476734
2025-07-11,2,12,-0.07293590657691155,0.035313663162256564,0.04321726854752517
2025-07-11,3,12,-0.0409544336256236,0.020911393172282605,0.015959936442506373
2025-07-11,4,12,-0.016763686820229762,0.03397681535976491,0.0193233185736974
2025-07-11,5,12,0.006691241412839823,-0.0026653426604079564,-0.0013531878761563476
2025-07-18,1,12,-0.18517595204071524,0.006009175817619709,-0.00965074055252857
2025-07-18,2,12,-0.07050592979888844,0.0010939728495498273,-0.003319661925128059
2025-07-18,3,12,-0.040661263716080025,0.025348699954556814,0.01060113453861733
2025-07-18,4,12,-0.019220470261953938,0.049708073150251296,0.0557523742935383
2025-07-18,5,12,0.002456438347083275,0.06448923562739849,0.05364651765459694
2025-07-25,1,12,-0.18171739235774653,0.07895636793752381,0.09411815290758052
2025-07-25,2,12,-0.09339864391036652,-0.02459014804307651,-0.03505681548043549
2025-07-25,3,12,-0.04731904077428145,-0.007790836124333095,-0.010816959608705157
2025-07-25,4,12,-0.017244202455376,-0.009198873734531238,-0.011106424410943116
2025-07-25,5,12,0.009416501598993923,-0.020322264992107902,-0.026942520674439696
2025-08-01,1,12,-0.22998111129525092,-0.020919061493870805,-0.03379629107029408
2025-08-01,2,12,-0.06376068504109031,0.04003119600644974,0.028990250137387208
2025-08-01,3,12,-0.02326258794376602,0.016463375722141887,0.018189113901996512
2025-08-01,4,12,0.0025410952811607637,0.014355042874418106,0.012434585522459907
2025-08-01,5,12,0.04361489247025252,0.025303162287168352,0.018042873874467125
2025-08-08,1,12,-0.17883740532318093,0.06202416960122923,0.03763478682423016
2025-08-08,2,12,-0.0787319416927225,0.03614347389160128,0.037955458453731716
2025-08-08,3,12,-0.03364984660295869,0.009287220528423604,-0.007231900569212357
2025-08-08,4,12,-0.016401050259669137,0.014249370487216159,0.009228552576442728
2025-08-08,5,12,0.016792825662127652,0.032891725119778746,0.02262451543577526
2025-08-15,1,12,-0.20376845010887315,0.03141591998951704,0.007942145768265019
2025-08-15,2,12,-0.09082251101542625,0.017836811502547067,-0.0001943350299382085
2025-08-15,3,12,-0.04303040637011297,0.07488274508041405,0.05642906221992117
2025-08-15,4,12,-0.00951703171872656,0.05565153334187822,0.04863123958247362
2025-08-15,5,12,0.01470867310824762,0.05157549148926438,0.04868812347073215
2025-08-22,1,12,-0.19205822599604405,0.12770576016223142,0.12555223218497746
2025-08-22,2,12,-0.1106582366066825,0.12030959990579944,0.10820510119949511
2025-08-22,3,12,-0.06707949579676563,0.05281475855025137,0.0350748022984545
2025-08-22,4,12,-0.04054975649385453,0.05872840345312305,0.034303437305354234
2025-08-22,5,12,-0.002982031814179442,0.030111123051392814,0.010309278350515538
