,equity
2023-01-02,1.0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,0.9754242260731742
2023-01-09,0.9754242260731742
2023-01-10,0.9754242260731742
2023-01-11,0.9754242260731742
2023-01-12,0.9754242260731742
2023-01-13,1.023186770114578
2023-01-16,1.023186770114578
2023-01-17,1.023186770114578
2023-01-18,1.023186770114578
2023-01-19,1.023186770114578
2023-01-20,1.0290336992045224
2023-01-23,1.0290336992045224
2023-01-24,1.0290336992045224
2023-01-25,1.0290336992045224
2023-01-26,1.0290336992045224
2023-01-27,1.0308650638711438
2023-01-30,1.0308650638711438
2023-01-31,1.0308650638711438
2023-02-01,1.0308650638711438
2023-02-02,1.0308650638711438
2023-02-03,1.1747154541539282
2023-02-06,1.1747154541539282
2023-02-07,1.1747154541539282
2023-02-08,1.1747154541539282
2023-02-09,1.1747154541539282
2023-02-10,1.115479273481044
2023-02-13,1.115479273481044
2023-02-14,1.115479273481044
2023-02-15,1.115479273481044
2023-02-16,1.115479273481044
2023-02-17,1.1566163021320874
2023-02-20,1.1566163021320874
2023-02-21,1.1566163021320874
2023-02-22,1.1566163021320874
2023-02-23,1.1566163021320874
2023-02-24,1.1726443866633949
2023-02-27,1.1726443866633949
2023-02-28,1.1726443866633949
2023-03-01,1.1726443866633949
2023-03-02,1.1726443866633949
2023-03-03,1.1400549888319318
2023-03-06,1.1400549888319318
2023-03-07,1.1400549888319318
2023-03-08,1.1400549888319318
2023-03-09,1.1400549888319318
2023-03-10,1.1360093264626052
2023-03-13,1.1360093264626052
2023-03-14,1.1360093264626052
2023-03-15,1.1360093264626052
2023-03-16,1.1360093264626052
2023-03-17,1.4392680663586221
2023-03-20,1.4392680663586221
2023-03-21,1.4392680663586221
2023-03-22,1.4392680663586221
2023-03-23,1.4392680663586221
2023-03-24,1.5356971857958785
2023-03-27,1.5356971857958785
2023-03-28,1.5356971857958785
2023-03-29,1.5356971857958785
2023-03-30,1.5356971857958785
2023-03-31,1.8620233283885497
2023-04-03,1.8620233283885497
2023-04-04,1.8620233283885497
2023-04-05,1.8620233283885497
2023-04-06,1.8620233283885497
2023-04-07,1.768988745615954
2023-04-10,1.768988745615954
2023-04-11,1.768988745615954
2023-04-12,1.768988745615954
2023-04-13,1.768988745615954
2023-04-14,1.9125344513311107
2023-04-17,1.9125344513311107
2023-04-18,1.9125344513311107
2023-04-19,1.9125344513311107
2023-04-20,1.9125344513311107
2023-04-21,1.8456492555302806
2023-04-24,1.8456492555302806
2023-04-25,1.8456492555302806
2023-04-26,1.8456492555302806
2023-04-27,1.8456492555302806
2023-04-28,1.657540208964588
2023-05-01,1.657540208964588
2023-05-02,1.657540208964588
2023-05-03,1.657540208964588
2023-05-04,1.657540208964588
2023-05-05,1.6376816354210852
2023-05-08,1.6376816354210852
2023-05-09,1.6376816354210852
2023-05-10,1.6376816354210852
2023-05-11,1.6376816354210852
2023-05-12,1.88654520563712
2023-05-15,1.88654520563712
2023-05-16,1.88654520563712
2023-05-17,1.88654520563712
2023-05-18,1.88654520563712
2023-05-19,2.22230969659227
2023-05-22,2.22230969659227
2023-05-23,2.22230969659227
2023-05-24,2.22230969659227
2023-05-25,2.22230969659227
2023-05-26,2.419394108899075
2023-05-29,2.419394108899075
2023-05-30,2.419394108899075
2023-05-31,2.419394108899075
2023-06-01,2.419394108899075
2023-06-02,2.454586608455151
2023-06-05,2.454586608455151
2023-06-06,2.454586608455151
2023-06-07,2.454586608455151
2023-06-08,2.454586608455151
2023-06-09,2.8806684531842515
2023-06-12,2.8806684531842515
2023-06-13,2.8806684531842515
2023-06-14,2.8806684531842515
2023-06-15,2.8806684531842515
2023-06-16,2.721325220790793
2023-06-19,2.721325220790793
2023-06-20,2.721325220790793
2023-06-21,2.721325220790793
2023-06-22,2.721325220790793
2023-06-23,2.440933781416245
2023-06-26,2.440933781416245
2023-06-27,2.440933781416245
2023-06-28,2.440933781416245
2023-06-29,2.440933781416245
2023-06-30,2.4612750983435188
2023-07-03,2.4612750983435188
2023-07-04,2.4612750983435188
2023-07-05,2.4612750983435188
2023-07-06,2.4612750983435188
2023-07-07,2.4781444838743534
2023-07-10,2.4781444838743534
2023-07-11,2.4781444838743534
2023-07-12,2.4781444838743534
2023-07-13,2.4781444838743534
2023-07-14,2.239298244368706
2023-07-17,2.239298244368706
2023-07-18,2.239298244368706
2023-07-19,2.239298244368706
2023-07-20,2.239298244368706
2023-07-21,2.1929179450599006
2023-07-24,2.1929179450599006
2023-07-25,2.1929179450599006
2023-07-26,2.1929179450599006
2023-07-27,2.1929179450599006
2023-07-28,2.236167579427046
2023-07-31,2.236167579427046
2023-08-01,2.236167579427046
2023-08-02,2.236167579427046
2023-08-03,2.236167579427046
2023-08-04,2.0288390876189957
2023-08-07,2.0288390876189957
2023-08-08,2.0288390876189957
2023-08-09,2.0288390876189957
2023-08-10,2.0288390876189957
2023-08-11,1.9148958789570307
2023-08-14,1.9148958789570307
2023-08-15,1.9148958789570307
2023-08-16,1.9148958789570307
2023-08-17,1.9148958789570307
2023-08-18,1.8315276073246916
2023-08-21,1.8315276073246916
2023-08-22,1.8315276073246916
2023-08-23,1.8315276073246916
2023-08-24,1.8315276073246916
2023-08-25,1.958068213481419
2023-08-28,1.958068213481419
2023-08-29,1.958068213481419
2023-08-30,1.958068213481419
2023-08-31,1.958068213481419
2023-09-01,1.923082341145771
2023-09-04,1.923082341145771
2023-09-05,1.923082341145771
2023-09-06,1.923082341145771
2023-09-07,1.923082341145771
2023-09-08,1.9515013098051557
2023-09-11,1.9515013098051557
2023-09-12,1.9515013098051557
2023-09-13,1.9515013098051557
2023-09-14,1.9515013098051557
2023-09-15,2.074402066548091
2023-09-18,2.074402066548091
2023-09-19,2.074402066548091
2023-09-20,2.074402066548091
2023-09-21,2.074402066548091
2023-09-22,2.0619298095640683
2023-09-25,2.0619298095640683
2023-09-26,2.0619298095640683
2023-09-27,2.0619298095640683
2023-09-28,2.0619298095640683
2023-09-29,2.0247420230776463
2023-10-02,2.0247420230776463
2023-10-03,2.0247420230776463
2023-10-04,2.0247420230776463
2023-10-05,2.0247420230776463
2023-10-06,2.004784137070889
2023-10-09,2.004784137070889
2023-10-10,2.004784137070889
2023-10-11,2.004784137070889
2023-10-12,2.004784137070889
2023-10-13,1.8282591178648544
2023-10-16,1.8282591178648544
2023-10-17,1.8282591178648544
2023-10-18,1.8282591178648544
2023-10-19,1.8282591178648544
2023-10-20,1.7470598571625138
2023-10-23,1.7470598571625138
2023-10-24,1.7470598571625138
2023-10-25,1.7470598571625138
2023-10-26,1.7470598571625138
2023-10-27,1.7703127643370156
2023-10-30,1.7703127643370156
2023-10-31,1.7703127643370156
2023-11-01,1.7703127643370156
2023-11-02,1.7703127643370156
2023-11-03,1.9511461591713917
2023-11-06,1.9511461591713917
2023-11-07,1.9511461591713917
2023-11-08,1.9511461591713917
2023-11-09,1.9511461591713917
2023-11-10,1.9904383069584788
2023-11-13,1.9904383069584788
2023-11-14,1.9904383069584788
2023-11-15,1.9904383069584788
2023-11-16,1.9904383069584788
2023-11-17,1.8294113043877818
2023-11-20,1.8294113043877818
2023-11-21,1.8294113043877818
2023-11-22,1.8294113043877818
2023-11-23,1.8294113043877818
2023-11-24,1.991241724168716
2023-11-27,1.991241724168716
2023-11-28,1.991241724168716
2023-11-29,1.991241724168716
2023-11-30,1.991241724168716
2023-12-01,2.139778422226875
2023-12-04,2.139778422226875
2023-12-05,2.139778422226875
2023-12-06,2.139778422226875
2023-12-07,2.139778422226875
2023-12-08,2.0400787582814446
2023-12-11,2.0400787582814446
2023-12-12,2.0400787582814446
2023-12-13,2.0400787582814446
2023-12-14,2.0400787582814446
2023-12-15,1.9598320456687093
2023-12-18,1.9598320456687093
2023-12-19,1.9598320456687093
2023-12-20,1.9598320456687093
2023-12-21,1.9598320456687093
2023-12-22,2.04290095896587
2023-12-25,2.04290095896587
2023-12-26,2.04290095896587
2023-12-27,2.04290095896587
2023-12-28,2.04290095896587
2023-12-29,1.8565464388218438
2024-01-01,1.8565464388218438
2024-01-02,1.8565464388218438
2024-01-03,1.8565464388218438
2024-01-04,1.8565464388218438
2024-01-05,1.8364445187108982
2024-01-08,1.8364445187108982
2024-01-09,1.8364445187108982
2024-01-10,1.8364445187108982
2024-01-11,1.8364445187108982
2024-01-12,1.8840876983198982
2024-01-15,1.8840876983198982
2024-01-16,1.8840876983198982
2024-01-17,1.8840876983198982
2024-01-18,1.8840876983198982
2024-01-19,1.8986816138294698
2024-01-22,1.8986816138294698
