,equity
2023-01-02,1.0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,0.9733973741398665
2023-01-09,0.9733973741398665
2023-01-10,0.9733973741398665
2023-01-11,0.9733973741398665
2023-01-12,0.9733973741398665
2023-01-13,1.0236615797275161
2023-01-16,1.0236615797275161
2023-01-17,1.0236615797275161
2023-01-18,1.0236615797275161
2023-01-19,1.0236615797275161
2023-01-20,1.0247940695738642
2023-01-23,1.0247940695738642
2023-01-24,1.0247940695738642
2023-01-25,1.0247940695738642
2023-01-26,1.0247940695738642
2023-01-27,1.025141918888838
2023-01-30,1.025141918888838
2023-01-31,1.025141918888838
2023-02-01,1.025141918888838
2023-02-02,1.025141918888838
2023-02-03,1.2047766939593387
2023-02-06,1.2047766939593387
2023-02-07,1.2047766939593387
2023-02-08,1.2047766939593387
2023-02-09,1.2047766939593387
2023-02-10,1.135251073218047
2023-02-13,1.135251073218047
2023-02-14,1.135251073218047
2023-02-15,1.135251073218047
2023-02-16,1.135251073218047
2023-02-17,1.1818991244641546
2023-02-20,1.1818991244641546
2023-02-21,1.1818991244641546
2023-02-22,1.1818991244641546
2023-02-23,1.1818991244641546
2023-02-24,1.191181527313972
2023-02-27,1.191181527313972
2023-02-28,1.191181527313972
2023-03-01,1.191181527313972
2023-03-02,1.191181527313972
2023-03-03,1.1658880270843435
2023-03-06,1.1658880270843435
2023-03-07,1.1658880270843435
2023-03-08,1.1658880270843435
2023-03-09,1.1658880270843435
2023-03-10,1.1553915378718127
2023-03-13,1.1553915378718127
2023-03-14,1.1553915378718127
2023-03-15,1.1553915378718127
2023-03-16,1.1553915378718127
2023-03-17,1.3502970373668277
2023-03-20,1.3502970373668277
2023-03-21,1.3502970373668277
2023-03-22,1.3502970373668277
2023-03-23,1.3502970373668277
2023-03-24,1.412551576386293
2023-03-27,1.412551576386293
2023-03-28,1.412551576386293
2023-03-29,1.412551576386293
2023-03-30,1.412551576386293
2023-03-31,1.5852988866797482
2023-04-03,1.5852988866797482
2023-04-04,1.5852988866797482
2023-04-05,1.5852988866797482
2023-04-06,1.5852988866797482
2023-04-07,1.5536640169361542
2023-04-10,1.5536640169361542
2023-04-11,1.5536640169361542
2023-04-12,1.5536640169361542
2023-04-13,1.5536640169361542
2023-04-14,1.6503293803713797
2023-04-17,1.6503293803713797
2023-04-18,1.6503293803713797
2023-04-19,1.6503293803713797
2023-04-20,1.6503293803713797
2023-04-21,1.6318671253445587
2023-04-24,1.6318671253445587
2023-04-25,1.6318671253445587
2023-04-26,1.6318671253445587
2023-04-27,1.6318671253445587
2023-04-28,1.5001527440623097
2023-05-01,1.5001527440623097
2023-05-02,1.5001527440623097
2023-05-03,1.5001527440623097
2023-05-04,1.5001527440623097
2023-05-05,1.4883851894784783
2023-05-08,1.4883851894784783
2023-05-09,1.4883851894784783
2023-05-10,1.4883851894784783
2023-05-11,1.4883851894784783
2023-05-12,1.6674833265815652
2023-05-15,1.6674833265815652
2023-05-16,1.6674833265815652
2023-05-17,1.6674833265815652
2023-05-18,1.6674833265815652
2023-05-19,2.0871467864686797
2023-05-22,2.0871467864686797
2023-05-23,2.0871467864686797
2023-05-24,2.0871467864686797
2023-05-25,2.0871467864686797
2023-05-26,2.237513276875698
2023-05-29,2.237513276875698
2023-05-30,2.237513276875698
2023-05-31,2.237513276875698
2023-06-01,2.237513276875698
2023-06-02,2.223166744025068
2023-06-05,2.223166744025068
2023-06-06,2.223166744025068
2023-06-07,2.223166744025068
2023-06-08,2.223166744025068
2023-06-09,2.4655772843731025
2023-06-12,2.4655772843731025
2023-06-13,2.4655772843731025
2023-06-14,2.4655772843731025
2023-06-15,2.4655772843731025
2023-06-16,2.2238053781812823
2023-06-19,2.2238053781812823
2023-06-20,2.2238053781812823
2023-06-21,2.2238053781812823
2023-06-22,2.2238053781812823
2023-06-23,2.0327479556378494
2023-06-26,2.0327479556378494
2023-06-27,2.0327479556378494
2023-06-28,2.0327479556378494
2023-06-29,2.0327479556378494
2023-06-30,2.073035896441144
2023-07-03,2.073035896441144
2023-07-04,2.073035896441144
2023-07-05,2.073035896441144
2023-07-06,2.073035896441144
2023-07-07,2.0544710123663763
2023-07-10,2.0544710123663763
2023-07-11,2.0544710123663763
2023-07-12,2.0544710123663763
2023-07-13,2.0544710123663763
2023-07-14,1.932637636078789
2023-07-17,1.932637636078789
2023-07-18,1.932637636078789
2023-07-19,1.932637636078789
2023-07-20,1.932637636078789
2023-07-21,1.8718127240698383
2023-07-24,1.8718127240698383
2023-07-25,1.8718127240698383
2023-07-26,1.8718127240698383
2023-07-27,1.8718127240698383
2023-07-28,1.9115591211579055
2023-07-31,1.9115591211579055
2023-08-01,1.9115591211579055
2023-08-02,1.9115591211579055
2023-08-03,1.9115591211579055
2023-08-04,1.7574526722539054
2023-08-07,1.7574526722539054
2023-08-08,1.7574526722539054
2023-08-09,1.7574526722539054
2023-08-10,1.7574526722539054
2023-08-11,1.6582901559469734
2023-08-14,1.6582901559469734
2023-08-15,1.6582901559469734
2023-08-16,1.6582901559469734
2023-08-17,1.6582901559469734
2023-08-18,1.5924504785636011
2023-08-21,1.5924504785636011
2023-08-22,1.5924504785636011
2023-08-23,1.5924504785636011
2023-08-24,1.5924504785636011
2023-08-25,1.7365772578921679
2023-08-28,1.7365772578921679
2023-08-29,1.7365772578921679
2023-08-30,1.7365772578921679
2023-08-31,1.7365772578921679
2023-09-01,1.732953105955139
2023-09-04,1.732953105955139
2023-09-05,1.732953105955139
2023-09-06,1.732953105955139
2023-09-07,1.732953105955139
2023-09-08,1.7855408442563656
2023-09-11,1.7855408442563656
2023-09-12,1.7855408442563656
2023-09-13,1.7855408442563656
2023-09-14,1.7855408442563656
2023-09-15,1.8609628773044324
2023-09-18,1.8609628773044324
2023-09-19,1.8609628773044324
2023-09-20,1.8609628773044324
2023-09-21,1.8609628773044324
2023-09-22,1.8423080409288026
2023-09-25,1.8423080409288026
2023-09-26,1.8423080409288026
2023-09-27,1.8423080409288026
2023-09-28,1.8423080409288026
2023-09-29,1.825421656600197
2023-10-02,1.825421656600197
2023-10-03,1.825421656600197
2023-10-04,1.825421656600197
2023-10-05,1.825421656600197
2023-10-06,1.8059549827088182
2023-10-09,1.8059549827088182
2023-10-10,1.8059549827088182
2023-10-11,1.8059549827088182
2023-10-12,1.8059549827088182
2023-10-13,1.5897052939905392
2023-10-16,1.5897052939905392
2023-10-17,1.5897052939905392
2023-10-18,1.5897052939905392
2023-10-19,1.5897052939905392
2023-10-20,1.4698619751951365
2023-10-23,1.4698619751951365
2023-10-24,1.4698619751951365
2023-10-25,1.4698619751951365
2023-10-26,1.4698619751951365
2023-10-27,1.502920091161234
2023-10-30,1.502920091161234
2023-10-31,1.502920091161234
2023-11-01,1.502920091161234
2023-11-02,1.502920091161234
2023-11-03,1.6702229050149826
2023-11-06,1.6702229050149826
2023-11-07,1.6702229050149826
2023-11-08,1.6702229050149826
2023-11-09,1.6702229050149826
2023-11-10,1.7044008656648448
2023-11-13,1.7044008656648448
2023-11-14,1.7044008656648448
2023-11-15,1.7044008656648448
2023-11-16,1.7044008656648448
2023-11-17,1.5777094139457126
2023-11-20,1.5777094139457126
2023-11-21,1.5777094139457126
2023-11-22,1.5777094139457126
2023-11-23,1.5777094139457126
2023-11-24,1.6065271961276195
2023-11-27,1.6065271961276195
2023-11-28,1.6065271961276195
2023-11-29,1.6065271961276195
2023-11-30,1.6065271961276195
2023-12-01,1.749861460614822
2023-12-04,1.749861460614822
2023-12-05,1.749861460614822
2023-12-06,1.749861460614822
2023-12-07,1.749861460614822
2023-12-08,1.6877849021357816
2023-12-11,1.6877849021357816
2023-12-12,1.6877849021357816
2023-12-13,1.6877849021357816
2023-12-14,1.6877849021357816
2023-12-15,1.6411896560300936
2023-12-18,1.6411896560300936
2023-12-19,1.6411896560300936
2023-12-20,1.6411896560300936
2023-12-21,1.6411896560300936
2023-12-22,1.743150010881791
2023-12-25,1.743150010881791
2023-12-26,1.743150010881791
2023-12-27,1.743150010881791
2023-12-28,1.743150010881791
2023-12-29,1.5860451863115004
2024-01-01,1.5860451863115004
2024-01-02,1.5860451863115004
2024-01-03,1.5860451863115004
2024-01-04,1.5860451863115004
2024-01-05,1.5496483373820857
2024-01-08,1.5496483373820857
2024-01-09,1.5496483373820857
2024-01-10,1.5496483373820857
2024-01-11,1.5496483373820857
2024-01-12,1.5585198142119576
2024-01-15,1.5585198142119576
2024-01-16,1.5585198142119576
2024-01-17,1.5585198142119576
2024-01-18,1.5585198142119576
